Id,gender,cluster_0,cluster_1,cluster_2,age
0,0,1,0,0,0
1,0,0,1,0,0.071428571
2,0,0,0,1,0.071428571
3,0,1,0,0,0.142857143
4,0,0,1,0,0.142857143
5,0,0,0,1,0.142857143
6,0,1,0,0,0.214285714
7,0,0,1,0,0.214285714
8,0,0,0,1,0.214285714
9,0,1,0,0,0.214285714
10,0,0,1,0,0.214285714
11,0,0,0,1,0.285714286
12,0,1,0,0,0.285714286
13,0,0,1,0,0.285714286
14,0,0,0,1,0.285714286
15,0,1,0,0,0.285714286
16,0,0,1,0,0.285714286
17,0,0,0,1,0.357142857
18,0,1,0,0,0.357142857
19,0,0,1,0,0.357142857
20,0,0,0,1,0.357142857
21,0,1,0,0,0.357142857
22,0,0,1,0,0.357142857
23,0,0,0,1,0.428571429
24,0,1,0,0,0.428571429
25,0,0,1,0,0.428571429
26,0,0,0,1,0.428571429
27,0,1,0,0,0.428571429
28,0,0,1,0,0.5
29,0,0,0,1,0.5
30,0,1,0,0,0.5
31,0,0,1,0,0.5
32,0,0,0,1,0.5
33,0,1,0,0,0.571428571
34,0,0,1,0,0.571428571
35,0,0,0,1,0.571428571
36,0,1,0,0,0.571428571
37,0,0,1,0,0.642857143
38,0,0,0,1,0.642857143
39,0,1,0,0,0.642857143
40,0,0,1,0,0.642857143
41,0,0,0,1,0.714285714
42,0,1,0,0,0.714285714
43,0,0,1,0,0.714285714
44,0,0,0,1,0.785714286
45,0,1,0,0,0.785714286
46,0,0,1,0,0.857142857
47,0,0,0,1,0.857142857
48,0,1,0,0,0.928571429
49,0,0,1,0,1
50,1,1,0,0,0
51,1,0,1,0,0.071428571
52,1,0,0,1,0.071428571
53,1,1,0,0,0.142857143
54,1,0,1,0,0.142857143
55,1,0,0,1,0.142857143
56,1,1,0,0,0.214285714
57,1,0,1,0,0.214285714
58,1,0,0,1,0.214285714
59,1,1,0,0,0.214285714
60,1,0,1,0,0.214285714
61,1,0,0,1,0.285714286
62,1,1,0,0,0.285714286
63,1,0,1,0,0.285714286
64,1,0,0,1,0.285714286
65,1,1,0,0,0.285714286
66,1,0,1,0,0.285714286
67,1,0,0,1,0.357142857
68,1,1,0,0,0.357142857
69,1,0,1,0,0.357142857
70,1,0,0,1,0.357142857
71,1,1,0,0,0.357142857
72,1,0,1,0,0.357142857
73,1,0,0,1,0.428571429
74,1,1,0,0,0.428571429
75,1,0,1,0,0.428571429
76,1,0,0,1,0.428571429
77,1,1,0,0,0.428571429
78,1,0,1,0,0.5
79,1,0,0,1,0.5
80,1,1,0,0,0.5
81,1,0,1,0,0.5
82,1,0,0,1,0.5
83,1,1,0,0,0.571428571
84,1,0,1,0,0.571428571
85,1,0,0,1,0.571428571
86,1,1,0,0,0.571428571
87,1,0,1,0,0.642857143
88,1,0,0,1,0.642857143
89,1,1,0,0,0.642857143
90,1,0,1,0,0.642857143
91,1,0,0,1,0.714285714
92,1,1,0,0,0.714285714
93,1,0,1,0,0.714285714
94,1,0,0,1,0.785714286
95,1,1,0,0,0.785714286
96,1,0,1,0,0.857142857
97,1,0,0,1,0.857142857
98,1,1,0,0,0.928571429
99,1,0,1,0,1
100,0,1,0,0,0
101,0,0,1,0,0.071428571
102,0,0,0,1,0.071428571
103,0,1,0,0,0.142857143
104,0,0,1,0,0.142857143
105,0,0,0,1,0.142857143
106,0,1,0,0,0.214285714
107,0,0,1,0,0.214285714
108,0,0,0,1,0.214285714
109,0,1,0,0,0.214285714
110,0,0,1,0,0.214285714
111,0,0,0,1,0.285714286
112,0,1,0,0,0.285714286
113,0,0,1,0,0.285714286
114,0,0,0,1,0.285714286
115,0,1,0,0,0.285714286
116,0,0,1,0,0.285714286
117,0,0,0,1,0.357142857
118,0,1,0,0,0.357142857
119,0,0,1,0,0.357142857
120,0,0,0,1,0.357142857
121,0,1,0,0,0.357142857
122,0,0,1,0,0.357142857
123,0,0,0,1,0.428571429
124,0,1,0,0,0.428571429
125,0,0,1,0,0.428571429
126,0,0,0,1,0.428571429
127,0,1,0,0,0.428571429
128,0,0,1,0,0.5
129,0,0,0,1,0.5
130,0,1,0,0,0.5
131,0,0,1,0,0.5
132,0,0,0,1,0.5
133,0,1,0,0,0.571428571
134,0,0,1,0,0.571428571
135,0,0,0,1,0.571428571
136,0,1,0,0,0.571428571
137,0,0,1,0,0.642857143
138,0,0,0,1,0.642857143
139,0,1,0,0,0.642857143
140,0,0,1,0,0.642857143
141,0,0,0,1,0.714285714
142,0,1,0,0,0.714285714
143,0,0,1,0,0.714285714
144,0,0,0,1,0.785714286
145,0,1,0,0,0.785714286
146,0,0,1,0,0.857142857
147,0,0,0,1,0.857142857
148,0,1,0,0,0.928571429
149,0,0,1,0,1
150,1,1,0,0,0
151,1,0,1,0,0.071428571
152,1,0,0,1,0.071428571
153,1,1,0,0,0.142857143
154,1,0,1,0,0.142857143
155,1,0,0,1,0.142857143
156,1,1,0,0,0.214285714
157,1,0,1,0,0.214285714
158,1,0,0,1,0.214285714
159,1,1,0,0,0.214285714
160,1,0,1,0,0.214285714
161,1,0,0,1,0.285714286
162,1,1,0,0,0.285714286
163,1,0,1,0,0.285714286
164,1,0,0,1,0.285714286
165,1,1,0,0,0.285714286
166,1,0,1,0,0.285714286
167,1,0,0,1,0.357142857
168,1,1,0,0,0.357142857
169,1,0,1,0,0.357142857
170,1,0,0,1,0.357142857
171,1,1,0,0,0.357142857
172,1,0,1,0,0.357142857
173,1,0,0,1,0.428571429
174,1,1,0,0,0.428571429
175,1,0,1,0,0.428571429
176,1,0,0,1,0.428571429
177,1,1,0,0,0.428571429
178,1,0,1,0,0.5
179,1,0,0,1,0.5
180,1,1,0,0,0.5
181,1,0,1,0,0.5
182,1,0,0,1,0.5
183,1,1,0,0,0.571428571
184,1,0,1,0,0.571428571
185,1,0,0,1,0.571428571
186,1,1,0,0,0.571428571
187,1,0,1,0,0.642857143
188,1,0,0,1,0.642857143
189,1,1,0,0,0.642857143
190,1,0,1,0,0.642857143
191,1,0,0,1,0.714285714
192,1,1,0,0,0.714285714
193,1,0,1,0,0.714285714
194,1,0,0,1,0.785714286
195,1,1,0,0,0.785714286
196,1,0,1,0,0.857142857
197,1,0,0,1,0.857142857
198,1,1,0,0,0.928571429
199,1,0,1,0,1
200,0,1,0,0,0
201,0,0,1,0,0.071428571
202,0,0,0,1,0.071428571
203,0,1,0,0,0.142857143
204,0,0,1,0,0.142857143
205,0,0,0,1,0.142857143
206,0,1,0,0,0.214285714
207,0,0,1,0,0.214285714
208,0,0,0,1,0.214285714
209,0,1,0,0,0.214285714
210,0,0,1,0,0.214285714
211,0,0,0,1,0.285714286
212,0,1,0,0,0.285714286
213,0,0,1,0,0.285714286
214,0,0,0,1,0.285714286
215,0,1,0,0,0.285714286
216,0,0,1,0,0.285714286
217,0,0,0,1,0.357142857
218,0,1,0,0,0.357142857
219,0,0,1,0,0.357142857
220,0,0,0,1,0.357142857
221,0,1,0,0,0.357142857
222,0,0,1,0,0.357142857
223,0,0,0,1,0.428571429
224,0,1,0,0,0.428571429
225,0,0,1,0,0.428571429
226,0,0,0,1,0.428571429
227,0,1,0,0,0.428571429
228,0,0,1,0,0.5
229,0,0,0,1,0.5
230,0,1,0,0,0.5
231,0,0,1,0,0.5
232,0,0,0,1,0.5
233,0,1,0,0,0.571428571
234,0,0,1,0,0.571428571
235,0,0,0,1,0.571428571
236,0,1,0,0,0.571428571
237,0,0,1,0,0.642857143
238,0,0,0,1,0.642857143
239,0,1,0,0,0.642857143
240,0,0,1,0,0.642857143
241,0,0,0,1,0.714285714
242,0,1,0,0,0.714285714
243,0,0,1,0,0.714285714
244,0,0,0,1,0.785714286
245,0,1,0,0,0.785714286
246,0,0,1,0,0.857142857
247,0,0,0,1,0.857142857
248,0,1,0,0,0.928571429
249,0,0,1,0,1
250,1,1,0,0,0
251,1,0,1,0,0.071428571
252,1,0,0,1,0.071428571
253,1,1,0,0,0.142857143
254,1,0,1,0,0.142857143
255,1,0,0,1,0.142857143
256,1,1,0,0,0.214285714
257,1,0,1,0,0.214285714
258,1,0,0,1,0.214285714
259,1,1,0,0,0.214285714
260,1,0,1,0,0.214285714
261,1,0,0,1,0.285714286
262,1,1,0,0,0.285714286
263,1,0,1,0,0.285714286
264,1,0,0,1,0.285714286
265,1,1,0,0,0.285714286
266,1,0,1,0,0.285714286
267,1,0,0,1,0.357142857
268,1,1,0,0,0.357142857
269,1,0,1,0,0.357142857
270,1,0,0,1,0.357142857
271,1,1,0,0,0.357142857
272,1,0,1,0,0.357142857
273,1,0,0,1,0.428571429
274,1,1,0,0,0.428571429
275,1,0,1,0,0.428571429
276,1,0,0,1,0.428571429
277,1,1,0,0,0.428571429
278,1,0,1,0,0.5
279,1,0,0,1,0.5
280,1,1,0,0,0.5
281,1,0,1,0,0.5
282,1,0,0,1,0.5
283,1,1,0,0,0.571428571
284,1,0,1,0,0.571428571
285,1,0,0,1,0.571428571
286,1,1,0,0,0.571428571
287,1,0,1,0,0.642857143
288,1,0,0,1,0.642857143
289,1,1,0,0,0.642857143
290,1,0,1,0,0.642857143
291,1,0,0,1,0.714285714
292,1,1,0,0,0.714285714
293,1,0,1,0,0.714285714
294,1,0,0,1,0.785714286
295,1,1,0,0,0.785714286
296,1,0,1,0,0.857142857
297,1,0,0,1,0.857142857
298,1,1,0,0,0.928571429
299,1,0,1,0,1
300,0,1,0,0,0
301,0,0,1,0,0.071428571
302,0,0,0,1,0.071428571
303,0,1,0,0,0.142857143
304,0,0,1,0,0.142857143
305,0,0,0,1,0.142857143
306,0,1,0,0,0.214285714
307,0,0,1,0,0.214285714
308,0,0,0,1,0.214285714
309,0,1,0,0,0.214285714
310,0,0,1,0,0.214285714
311,0,0,0,1,0.285714286
312,0,1,0,0,0.285714286
313,0,0,1,0,0.285714286
314,0,0,0,1,0.285714286
