inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9,,inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9
1.577311301,0.854938509,0.341209524,0.097153561,1.115901421,0.513229169,0.325501674,0.622687719,0.795846351,0.63701973,,1.069776146,0.231223574,0.142691607,0.148821432,0.508712659,0.323938275,0.338417403,0.019518565,0.012160908,0.015875196
1.909125357,1.049081035,0.744053559,0.743382384,1.250908611,0.880119788,0.817082767,0.526621661,0.853388135,0.544523467,,,,,,,,,,,
1.718891826,1.472480193,1.323327219,1.44918335,1.213508663,0.793049315,1.008191063,0.889473573,0.967602738,0.880781383,,,,,,,,,,,
1.736758725,0.581630593,0.505550178,0.52159757,1.571341585,1.554452766,1.562079494,0.749974289,0.821970568,0.826104457,,,,,,,,,,,
2.502274534,1.707705631,1.321009352,1.506895668,2.064281945,1.869912092,2.05358759,1.743137882,1.783265091,1.779387814,,,,,,,,,,,
2.673138817,2.486498671,2.054063485,1.922256135,2.801632526,2.913641648,2.726775975,2.004156258,1.681727692,2.247063345,,,,,,,,,,,
1.874588015,0.833878969,0.510910781,0.637855775,1.023040348,0.868427677,0.849391231,0.698819768,0.329589325,0.509963521,,,,,,,,,,,
1.232188161,0.288770317,1.038812016,0.392301909,0.45333369,0.519905182,0.526653717,0.274680091,0.44288218,0.213500205,,,,,,,,,,,
2.296146323,1.374561969,1.421440038,1.269814715,1.851981393,1.751556042,1.709131185,1.500161077,1.359045204,1.545878881,,,,,,,,,,,
2.101094483,1.301580575,0.999129524,1.152088693,1.927148564,1.448142879,1.6911682,1.273484088,1.280150078,1.31149275,,,,,,,,,,,
1.674779071,0.996608164,0.034933665,0.016985123,1.370473013,0.960307307,1.084204263,0.4033828,0.50253043,0.514293173,,,,,,,,,,,
2.029768916,1.339237953,0.519420236,0.49530435,2.283333719,1.917074757,1.943099171,1.002621528,1.043284882,1.036126498,,,,,,,,,,,
2.353719477,1.624162513,1.092762187,1.077734058,1.681940399,1.44193525,1.633802664,1.376246542,1.506671444,1.333120382,,,,,,,,,,,
2.086199283,0.727038861,-1.264088368,-0.662122088,2.10720245,2.431845932,2.285429445,0.579785984,0.586004376,0.517472674,,,,,,,,,,,
1.248700827,0.577665361,-0.003943333,0.197589468,0.624989456,0.29251189,0.600634907,0.58196436,0.443816921,0.448677854,,,,,,,,,,,
2.05753137,0.257270752,0.02604601,-0.252709406,1.752135477,1.56346723,1.380937785,0.106996089,0.422525652,0.127259782,,,,,,,,,,,
1.888286103,1.19886615,0.984076159,0.988582801,1.656699898,1.460721268,1.451239949,0.868576839,0.826479656,0.912443953,,,,,,,,,,,
1.95971365,1.751304323,1.870837315,2.01549693,1.77416382,1.413343672,1.471468859,1.462199322,1.229414082,1.330261848,,,,,,,,,,,
2.462350763,1.876405339,1.841516521,1.883529353,2.110938861,1.984329481,1.943889043,1.840285167,1.691185032,1.919830007,,,,,,,,,,,
2.111874229,1.505341157,1.720248747,1.639618388,2.015356066,2.000065948,1.786763324,1.01202334,1.19618128,1.083302793,,,,,,,,,,,
