inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9,,inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9
1.79734474,0.999348941,0.57020719,0.327085146,1.288415821,0.758293171,0.576409507,0.792607003,0.957602839,0.811253323,,1.303794329,0.455324133,0.069453603,0.074868241,0.743125544,0.563425059,0.573861423,0.265986891,0.237577817,0.260372407
2.080675465,1.309011366,0.894485757,0.868005536,1.408302261,1.062801714,1.036724919,0.730645764,1.037146235,0.74949089,,,,,,,,,,,
2.059547848,1.845378045,1.5784058,1.729470784,1.547584078,1.109995548,1.342119532,1.253844196,1.324285114,1.244976916,,,,,,,,,,,
1.870063022,0.727732435,0.707813657,0.679077491,1.725283256,1.76446052,1.740661868,0.869586834,0.920382385,0.954740029,,,,,,,,,,,
2.743566426,1.971757597,1.618952585,1.80777431,2.333134003,2.181780976,2.366931659,2.021177772,2.032296518,2.06174998,,,,,,,,,,,
2.879102275,2.707453496,2.398955529,2.226871862,2.958087077,3.151319304,2.970547306,2.290649166,1.918565541,2.536327622,,,,,,,,,,,
2.223689897,1.111510304,0.75198469,0.90018533,1.282447107,1.09237426,1.10735647,1.042000688,0.631974395,0.842026179,,,,,,,,,,,
1.437832586,0.439468503,0.95850786,0.342094195,0.648995608,0.712434051,0.734291714,0.462913782,0.627079003,0.398399916,,,,,,,,,,,
2.540819824,1.640684897,1.603648326,1.47590298,2.028782254,1.902952628,1.877793092,1.62038203,1.521986997,1.665801342,,,,,,,,,,,
2.277440007,1.432389264,1.260721159,1.373666154,2.145120605,1.729932458,1.896433092,1.412195508,1.381952884,1.458955084,,,,,,,,,,,
1.876149695,1.120128798,0.226706985,0.241118273,1.624519186,1.180895277,1.212225758,0.611672727,0.702165756,0.724605441,,,,,,,,,,,
2.239055142,1.606985255,0.71466787,0.713532177,2.498214941,2.129703378,2.186676477,1.304634554,1.285170432,1.342735896,,,,,,,,,,,
2.559313326,1.650198885,1.218344338,1.195291752,1.749252932,1.499181254,1.694316208,1.489137614,1.609056064,1.438186507,,,,,,,,,,,
2.2518096,0.763125037,-1.149598431,-0.519916153,2.269149954,2.563039916,2.434563998,0.738223655,0.698429768,0.671425671,,,,,,,,,,,
1.499566035,0.776782408,0.137425676,0.367657257,0.844302778,0.472582851,0.79886944,0.78960788,0.657631833,0.653240719,,,,,,,,,,,
2.363398448,0.399381418,0.048751953,-0.065765914,1.96501001,1.816162061,1.644093856,0.401167311,0.676531389,0.424188803,,,,,,,,,,,
