inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs0,abs1,abs2,abs3
0.502047091,0.901041646,0.463655399,0.818720667,0.475972043,0.83505178,0.511529274,0.896342818,0.002047091,0.036344601,0.024027957,0.011529274
0.536370622,0.594016245,0.51446171,0.578695323,0.524187305,0.564204302,0.583340265,0.616265455,0.036370622,0.01446171,0.024187305,0.083340265
0.569324289,0.605061576,0.569947289,0.598457468,0.553346327,0.587181732,0.565482668,0.615730309,0.069324289,0.069947289,0.053346327,0.065482668
0.503901707,0.759645762,0.481140693,0.728730133,0.520958126,0.729250855,0.537237307,0.705475242,0.003901707,0.018859307,0.020958126,0.037237307
0.582853661,0.804043018,0.593190864,0.798346664,0.610787604,0.816047789,0.533887291,0.807562207,0.082853661,0.093190864,0.110787604,0.033887291
0.589079952,0.847039283,0.569795505,0.84066205,0.589741747,0.81478504,0.594123578,0.836790935,0.089079952,0.069795505,0.089741747,0.094123578
0.640742734,0.84272287,0.599212577,0.791163289,0.628571855,0.824443429,0.657746601,0.829659783,0.140742734,0.099212577,0.128571855,0.157746601
0.546463639,0.921925857,0.553978117,0.893263472,0.544551068,0.920652894,0.580160792,0.825660565,0.046463639,0.053978117,0.044551068,0.080160792
0.543936547,0.782275672,0.472552101,0.676078636,0.537288734,0.79303721,0.531921375,0.797742303,0.043936547,0.027447899,0.037288734,0.031921375
0.549697397,0.830984664,0.539543256,0.812366721,0.534809907,0.817426577,0.568252992,0.845460978,0.049697397,0.039543256,0.034809907,0.068252992
0.593433735,0.856174622,0.521616729,0.769676719,0.571530464,0.833795561,0.6029912,0.853490463,0.093433735,0.021616729,0.071530464,0.1029912
0.599589262,0.839985867,0.579627068,0.824866724,0.609931769,0.861260363,0.608946219,0.829927716,0.099589262,0.079627068,0.109931769,0.108946219
0.584896192,0.858331375,0.571529568,0.8716317,0.550799026,0.830594017,0.598373626,0.861094671,0.084896192,0.071529568,0.050799026,0.098373626
0.513397639,1.034906201,0.459727401,0.969158541,0.525147993,1.059677011,0.494738913,1.007067951,0.013397639,0.040272599,0.025147993,0.005261087
0.501771832,0.690971734,0.490144221,0.703098716,0.513069777,0.712530521,0.502746695,0.695243389,0.001771832,0.009855779,0.013069777,0.002746695
0.535268371,0.846348986,0.429803923,0.698626528,0.491836778,0.74796675,0.482928141,0.800885371,0.035268371,0.070196077,0.008163222,0.017071859
0.436923972,0.982953654,0.488764629,0.961395923,0.450080941,0.989085565,0.42164385,0.96745516,0.063076028,0.011235371,0.049919059,0.07835615
0.608402665,0.838565093,0.579368737,0.808424721,0.596367038,0.805144335,0.617038857,0.877403367,0.108402665,0.079368737,0.096367038,0.117038857
0.676319508,0.842174281,0.668857581,0.782584861,0.67313557,0.806367111,0.632167657,0.834592937,0.176319508,0.168857581,0.17313557,0.132167657
0.538693757,0.633829625,0.586624896,0.696068825,0.541973696,0.662068432,0.530969533,0.656518206,0.038693757,0.086624896,0.041973696,0.030969533
0.563504363,0.760718915,0.547794696,0.757700233,0.558734552,0.743771698,0.562963047,0.733333134,0.063504363,0.047794696,0.058734552,0.062963047
0.477583343,0.965272691,0.396361522,0.923308523,0.486635919,1.014133778,0.48134449,0.993214321,0.022416657,0.103638478,0.013364081,0.01865551
0.450368838,0.623502584,0.439557865,0.596648405,0.422236741,0.59697608,0.460464014,0.667904817,0.049631162,0.060442135,0.077763259,0.039535986
0.670312651,0.796135646,0.600563765,0.721425194,0.677603034,0.843251481,0.683187945,0.807944662,0.170312651,0.100563765,0.177603034,0.183187945
0.652180353,0.636467806,0.648311187,0.648068117,0.643699107,0.615725369,0.635113166,0.645039982,0.152180353,0.148311187,0.143699107,0.135113166
0.528390873,0.816439314,0.508892656,0.806264017,0.528531265,0.827590532,0.521940142,0.839096944,0.028390873,0.008892656,0.028531265,0.021940142
0.461021924,0.920874912,0.42693309,0.908674216,0.462450863,0.912686583,0.449537633,0.929307895,0.038978076,0.07306691,0.037549137,0.050462367
0.662010376,0.818776212,0.689327728,0.806672616,0.647067096,0.809957606,0.656090967,0.812537701,0.162010376,0.189327728,0.147067096,0.156090967
0.721638233,0.728818256,0.707576288,0.714249034,0.667269749,0.7228162,0.697682536,0.721787623,0.221638233,0.207576288,0.167269749,0.197682536
0.684940956,1.021279017,0.624713764,0.993129141,0.656096182,1.011103516,0.691117168,1.01104768,0.184940956,0.124713764,0.156096182,0.191117168
0.549645438,0.684864798,0.514374462,0.673239668,0.539062522,0.64625802,0.545882299,0.702719292,0.049645438,0.014374462,0.039062522,0.045882299
0.656944877,0.975859838,0.630243262,0.981392968,0.65341404,0.979853362,0.603820936,0.965342152,0.156944877,0.130243262,0.15341404,0.103820936
0.769852378,0.867474335,0.745119193,0.791442314,0.782917629,0.855099713,0.745750225,0.873116736,0.269852378,0.245119193,0.282917629,0.245750225
0.527550724,1.087854844,0.487633259,0.988775197,0.527220463,1.03094138,0.524458582,1.081686106,0.027550724,0.012366741,0.027220463,0.024458582
0.555058267,0.849249634,0.561187962,0.842138329,0.570130877,0.858607509,0.561214036,0.836958086,0.055058267,0.061187962,0.070130877,0.061214036
0.57973083,0.791520578,0.533488162,0.752932329,0.545903252,0.757269722,0.590576757,0.780503573,0.07973083,0.033488162,0.045903252,0.090576757
0.678661915,0.794751672,0.673114325,0.757896219,0.647684551,0.774791345,0.711396468,0.799458294,0.178661915,0.173114325,0.147684551,0.211396468
0.42605959,0.724040118,0.429507163,0.726889429,0.403499794,0.741370935,0.42323372,0.719850397,0.07394041,0.070492837,0.096500206,0.07676628
0.57672905,0.788266506,0.579827926,0.754879416,0.58330445,0.741278848,0.583071545,0.802534233,0.07672905,0.079827926,0.08330445,0.083071545
0.538411737,0.797734399,0.528407261,0.797022328,0.528851353,0.774286484,0.518765093,0.838168942,0.038411737,0.028407261,0.028851353,0.018765093
0.545562133,0.831978818,0.565385028,0.852348097,0.537171846,0.828826603,0.548190157,0.83393863,0.045562133,0.065385028,0.037171846,0.048190157
0.584604156,0.78584813,0.558144532,0.767270734,0.564560275,0.779094852,0.603634404,0.782573469,0.084604156,0.058144532,0.064560275,0.103634404
0.630568051,0.733141976,0.63553105,0.740933254,0.633592662,0.741966929,0.600446569,0.710010885,0.130568051,0.13553105,0.133592662,0.100446569
0.515081225,0.921531492,0.459804642,0.860934898,0.506110733,0.909060015,0.533212884,0.924080637,0.015081225,0.040195358,0.006110733,0.033212884
0.539120579,0.867227547,0.539555743,0.836100384,0.535103154,0.8939583,0.546440657,0.88174933,0.039120579,0.039555743,0.035103154,0.046440657
0.571750072,1.019373506,0.586617477,1.017027058,0.553557328,0.966088302,0.565070728,0.987108197,0.071750072,0.086617477,0.053557328,0.065070728
0.476085535,0.901011954,0.438041739,0.845773725,0.391792708,0.749847013,0.465705014,0.891987609,0.023914465,0.061958261,0.108207292,0.034294986
0.533446806,0.961728972,0.451344022,0.908338037,0.517189322,0.956082562,0.546429052,0.960169035,0.033446806,0.048655978,0.017189322,0.046429052
0.605912329,0.831851892,0.593455451,0.817088515,0.596584548,0.835199324,0.591950203,0.826737304,0.105912329,0.093455451,0.096584548,0.091950203
0.486070898,0.747916917,0.450401628,0.714168849,0.470008386,0.731436524,0.48295741,0.754705706,0.013929102,0.049598372,0.029991614,0.01704259
0.574025744,0.951257739,0.565652989,0.942130214,0.543688005,0.922812472,0.551857957,0.945144633,0.074025744,0.065652989,0.043688005,0.051857957
0.503895279,0.849830146,0.485038004,0.852979342,0.510043765,0.831418816,0.48284358,0.811213374,0.003895279,0.014961996,0.010043765,0.01715642
0.539786481,0.873843887,0.553120577,0.833506096,0.53541645,0.866989644,0.560125511,0.891170081,0.039786481,0.053120577,0.03541645,0.060125511
0.474673042,0.774689732,0.441691406,0.762096027,0.462249737,0.768272407,0.486681889,0.794037166,0.025326958,0.058308594,0.037750263,0.013318111
0.581038948,0.778805668,0.567947216,0.747943044,0.57522315,0.740748766,0.580351,0.784045166,0.081038948,0.067947216,0.07522315,0.080351
0.559937519,0.73899438,0.504081979,0.720123223,0.550110282,0.728597528,0.538009882,0.742669568,0.059937519,0.004081979,0.050110282,0.038009882
0.590219091,0.940785361,0.565461528,0.908291059,0.594983751,0.936645913,0.599739755,0.958862886,0.090219091,0.065461528,0.094983751,0.099739755
0.636412305,0.871230139,0.636436386,0.91374256,0.624226901,0.882954635,0.629465408,0.892000365,0.136412305,0.136436386,0.124226901,0.129465408
0.607684384,0.907506863,0.622000474,0.901972391,0.610894956,0.918527591,0.659410623,0.954235129,0.107684384,0.122000474,0.110894956,0.159410623
0.589791269,0.815410089,0.518667084,0.729909638,0.554975927,0.754645494,0.598664638,0.803981901,0.089791269,0.018667084,0.054975927,0.098664638
0.62442133,1.01530616,0.593773565,0.986641398,0.626819116,1.008508798,0.617927949,1.01006597,0.12442133,0.093773565,0.126819116,0.117927949
0.641661781,0.92359294,0.597816245,0.862058608,0.64826705,0.912491758,0.648814929,0.922827789,0.141661781,0.097816245,0.14826705,0.148814929
0.587518399,0.964434532,0.592358084,0.976775425,0.580151662,0.973631072,0.577041782,0.943459008,0.087518399,0.092358084,0.080151662,0.077041782
0.503950142,0.878089481,0.520560358,0.887127952,0.511573167,0.912153446,0.481053178,0.876378107,0.003950142,0.020560358,0.011573167,0.018946822
0.504298955,0.793489187,0.512859139,0.793617772,0.495859075,0.781776873,0.514624277,0.777056865,0.004298955,0.012859139,0.004140925,0.014624277
0.5209894,0.923865789,0.480424638,0.875668463,0.49100481,0.858465299,0.510647769,0.955897709,0.0209894,0.019575362,0.00899519,0.010647769
0.59860768,0.879478016,0.522639662,0.824696106,0.566335639,0.868032882,0.583090707,0.874152107,0.09860768,0.022639662,0.066335639,0.083090707
0.592113893,0.784665357,0.572070964,0.783818846,0.586474071,0.788135971,0.567300555,0.811319758,0.092113893,0.072070964,0.086474071,0.067300555
0.568102595,0.758346373,0.546725152,0.768661335,0.515927506,0.728634019,0.542399076,0.792821391,0.068102595,0.046725152,0.015927506,0.042399076
0.76607953,0.736047256,0.66848062,0.621001161,0.705726677,0.668073399,0.759416123,0.724599146,0.26607953,0.16848062,0.205726677,0.259416123
0.61764278,0.926159981,0.59393559,0.906218013,0.595137599,0.89838517,0.615754212,0.928853386,0.11764278,0.09393559,0.095137599,0.115754212
0.524827835,0.893726165,0.479990486,0.871435125,0.51203522,0.886616663,0.543977549,0.890251105,0.024827835,0.020009514,0.01203522,0.043977549
0.410892948,1.072743042,0.378068783,1.064703652,0.39633879,1.065073347,0.412569219,1.070864859,0.089107052,0.121931217,0.10366121,0.087430781
0.368804823,0.864014746,0.390989366,0.861520898,0.387122638,0.875119816,0.381539455,0.846403838,0.131195177,0.109010634,0.112877362,0.118460545
0.419263292,0.735497252,0.436330912,0.748044047,0.413261037,0.723772983,0.414465822,0.725158812,0.080736708,0.063669088,0.086738963,0.085534178
0.619262645,0.882893803,0.625038271,0.891724025,0.634209047,0.894077169,0.608715232,0.878562943,0.119262645,0.125038271,0.134209047,0.108715232
0.594204777,0.860165059,0.575359925,0.84979613,0.604938584,0.855419494,0.573986409,0.858329166,0.094204777,0.075359925,0.104938584,0.073986409
0.540557775,0.899607547,0.525880118,0.84822863,0.551870713,0.903870835,0.529538006,0.873799281,0.040557775,0.025880118,0.051870713,0.029538006
0.603069391,0.81634127,0.610798789,0.799005146,0.599522019,0.822164801,0.596213845,0.803489083,0.103069391,0.110798789,0.099522019,0.096213845
0.570901894,0.839039928,0.541738646,0.779937989,0.55409865,0.790444227,0.559685835,0.817995126,0.070901894,0.041738646,0.05409865,0.059685835
0.429370475,0.840209902,0.41900681,0.846689353,0.42052047,0.854414605,0.42433475,0.840833728,0.070629525,0.08099319,0.07947953,0.07566525
0.550135956,0.784740008,0.568364783,0.756090382,0.575617367,0.747122323,0.57308777,0.763241816,0.050135956,0.068364783,0.075617367,0.07308777
0.560041431,0.786658852,0.4844978,0.704522665,0.552792623,0.771128982,0.552313068,0.773392272,0.060041431,0.0155022,0.052792623,0.052313068
0.552030633,0.738375695,0.544396041,0.729942971,0.562289009,0.734749053,0.563278465,0.72842137,0.052030633,0.044396041,0.062289009,0.063278465
0.591997715,0.78253938,0.577497463,0.731669255,0.622818733,0.751637026,0.585867357,0.773763736,0.091997715,0.077497463,0.122818733,0.085867357
0.481549769,0.865548477,0.469650143,0.869226035,0.479508387,0.861950308,0.451481817,0.867928437,0.018450231,0.030349857,0.020491613,0.048518183
0.655013945,0.837351825,0.611839046,0.817828059,0.6087981,0.802873017,0.674040761,0.828853724,0.155013945,0.111839046,0.1087981,0.174040761
0.532058503,0.875638076,0.613941298,0.874538804,0.562069277,0.88033798,0.511701877,0.863512394,0.032058503,0.113941298,0.062069277,0.011701877
0.62127827,0.863576726,0.58571453,0.859266599,0.590688593,0.845992787,0.641232825,0.852458508,0.12127827,0.08571453,0.090688593,0.141232825
0.536904518,0.746790926,0.529266888,0.724051629,0.513639785,0.703737575,0.538125846,0.744952333,0.036904518,0.029266888,0.013639785,0.038125846
0.652966701,0.66491119,0.677213434,0.674917323,0.656937051,0.665007364,0.667795043,0.665077742,0.152966701,0.177213434,0.156937051,0.167795043
0.636739774,0.876501873,0.569901092,0.817157985,0.589789651,0.857150645,0.653877639,0.882003257,0.136739774,0.069901092,0.089789651,0.153877639
0.41266438,0.873937972,0.328261511,0.815197337,0.33037326,0.773758455,0.448896352,0.845863384,0.08733562,0.171738489,0.16962674,0.051103648
0.457010239,0.755673351,0.439559829,0.738026751,0.445572884,0.733040597,0.451998925,0.751867883,0.042989761,0.060440171,0.054427116,0.048001075
0.650800094,0.884840247,0.683095114,0.93958725,0.648550761,0.9079516,0.646847436,0.885315902,0.150800094,0.183095114,0.148550761,0.146847436
0.593996535,0.827101275,0.536569704,0.752655629,0.567378027,0.734105499,0.620098285,0.789420613,0.093996535,0.036569704,0.067378027,0.120098285
0.650338168,1.025665246,0.67893097,1.045806755,0.663309689,1.042616446,0.647319999,1.006748287,0.150338168,0.17893097,0.163309689,0.147319999
0.711518521,0.777080489,0.695135356,0.73455061,0.697825944,0.748651394,0.706699754,0.7457332,0.211518521,0.195135356,0.197825944,0.206699754
0.679383157,0.853386733,0.67367017,0.831705812,0.691304769,0.870295978,0.673110744,0.848441152,0.179383157,0.17367017,0.191304769,0.173110744
0.589695554,0.838706202,0.526892869,0.768978134,0.517225836,0.709149466,0.608314642,0.870142731,0.089695554,0.026892869,0.017225836,0.108314642
