inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.50581751,0.900937109,0.353268759,0.815083307,0.269455563,0.825638741,0.512962977,0.896305188,0.230544437
0.692018439,0.5610879,0.414197236,0.498950172,0.28128226,0.47112857,0.731795003,0.571451129,0.21871774
0.694479724,0.606600994,0.612605312,0.581453851,0.527415404,0.550389182,0.714054239,0.618067048,0.027415404
0.580487853,0.757601203,0.395918818,0.698434804,0.267882301,0.675378396,0.562417548,0.709732525,0.232117699
0.948134603,0.791106421,0.84081522,0.758204051,0.710631127,0.713452188,0.895735815,0.795177957,0.210631127
1.000706255,0.722666073,0.926851082,0.722300459,0.681519378,0.651886544,1.014463387,0.708928576,0.181519378
0.781787521,0.840507991,0.580065501,0.814782721,0.333482543,0.734049725,0.77577325,0.829752067,0.166517457
0.451608942,0.950487279,0.228914874,0.909514555,0.147769751,0.897621456,0.472056534,0.868876884,0.352230249
0.822389206,0.801603251,0.674064739,0.74321877,0.729313849,0.765724894,0.824200665,0.815753463,0.229313849
0.816843174,0.779126044,0.620200275,0.775750646,0.530987785,0.761299182,0.927472778,0.782629227,0.030987785
0.605282802,0.849644121,0.338390754,0.725954656,0.408384838,0.707658985,0.639647499,0.847899366,0.091615162
0.786881338,0.836164832,0.539800826,0.767373543,0.526803312,0.776448605,0.77495356,0.831422503,0.026803312
0.856861291,0.856553567,0.68226276,0.763900136,0.637198055,0.750370169,0.877303801,0.855047587,0.137198055
0.698646042,1.012102191,0.343083959,0.888250206,0.257144609,0.846135894,0.660606483,0.990845005,0.242855391
0.532543441,0.689807066,0.306170372,0.631116479,0.476659261,0.675504494,0.581684766,0.692256987,0.023340739
0.712223765,0.827695015,0.370323507,0.65080066,0.095606166,0.609733831,0.600695322,0.789307888,0.404393834
0.780162834,0.945161965,0.525552869,0.828376251,0.398874398,0.793561684,0.779492778,0.920408397,0.101125602
0.782065266,0.775837396,0.74241957,0.756273133,0.850257752,0.77201546,0.798104689,0.810145855,0.350257752
0.871301564,0.819108422,0.773972406,0.73194982,0.522796771,0.710569175,0.800573062,0.807950888,0.022796771
0.786258415,0.619330628,0.635556675,0.590934977,0.631770785,0.593946628,0.776351573,0.639006656,0.131770785
0.931791603,0.75065293,0.878068205,0.727415882,0.811528263,0.716366449,0.938629711,0.721252648,0.311528263
0.84131021,0.915088156,0.532439503,0.835734895,0.510939861,0.822993223,0.821969537,0.946130536,0.010939861
0.485225411,0.621828191,0.225966517,0.562263314,0.33846522,0.535874459,0.479624335,0.666957359,0.16153478
0.777828461,0.751575938,0.438873951,0.627061773,-0.051844562,0.543897653,0.775594945,0.765512936,0.551844562
0.909160673,0.624327209,0.671681385,0.558383695,0.512065413,0.514770636,0.937793519,0.617905014,0.012065413
0.558453302,0.813476854,0.627907539,0.82950028,0.57036424,0.823030096,0.553383171,0.836716576,0.07036424
0.704573335,0.893733487,0.389086497,0.848665937,0.385646335,0.902054134,0.719926436,0.89882617,0.114353665
1.007313038,0.818496177,0.908570134,0.803122034,0.838401642,0.762306183,0.964857113,0.809565697,0.338401642
0.757255939,0.756738391,0.522735622,0.644736389,0.452902367,0.669426871,0.748647332,0.741391599,0.047097633
1.030776022,0.965056832,0.774689653,0.867389963,0.616790461,0.889721116,1.026719436,0.956986151,0.116790461
0.505808284,0.698990413,0.290091091,0.63263023,0.130649307,0.609446248,0.44730986,0.718382099,0.369350693
1.048200132,0.861783606,0.748942929,0.804486357,0.529250784,0.754172168,1.051067616,0.835087679,0.029250784
0.983963039,0.83592796,0.788289913,0.767704695,0.80076728,0.780585355,0.984756562,0.830031088,0.30076728
