inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs0,abs1,abs2,abs3
0.559715493,0.770374887,0.609436464,0.80479878,0.622621455,0.799770234,0.581948142,0.770142901,0.059715493,0.109436464,0.122621455,0.081948142
0.326764835,0.495552475,0.362644859,0.488243406,0.360462025,0.48139596,0.428087971,0.516233316,0.173235165,0.137355141,0.139537975,0.071912029
0.350082514,0.46770178,0.440584985,0.517641439,0.412869997,0.519971064,0.347197867,0.471747755,0.149917486,0.059415015,0.087130003,0.152802133
0.310199585,0.641734988,0.378613662,0.635414355,0.367313963,0.683483973,0.304434573,0.573061163,0.189800415,0.121386338,0.132686037,0.195565427
0.102694623,0.539675018,0.181280162,0.568443106,0.237814823,0.596825342,0.068093191,0.563517682,0.397305377,0.318719838,0.262185177,0.431906809
1.008761034,0.731653002,0.9188136,0.689856801,0.87222162,0.686101501,1.025401229,0.710040014,0.508761034,0.4188136,0.37222162,0.525401229
0.355782061,0.652932452,0.311659464,0.671548184,0.330289715,0.679326412,0.376929364,0.661932415,0.144217939,0.188340536,0.169710285,0.123070636
0.642833489,0.838221123,0.710082355,0.784501433,0.622785753,0.789277588,0.649619635,0.751353989,0.142833489,0.210082355,0.122785753,0.149619635
0.431406988,0.575113396,0.50692879,0.615341339,0.50274312,0.624900091,0.430799844,0.591006958,0.068593012,0.00692879,0.00274312,0.069200156
0.468982692,0.732572554,0.421397571,0.720006122,0.422742855,0.72725243,0.526425177,0.74599221,0.031017308,0.078602429,0.077257145,0.026425177
0.419541447,0.715865417,0.301360298,0.687744682,0.361777886,0.71043049,0.442918743,0.708178642,0.080458553,0.198639702,0.138222114,0.057081257
0.415393549,0.726140081,0.538830433,0.722240997,0.697498344,0.760631615,0.485488291,0.741286198,0.084606451,0.038830433,0.197498344,0.014511709
0.288925665,0.686989475,0.33690317,0.70459066,0.335159894,0.712207863,0.29609166,0.691883667,0.211074335,0.16309683,0.164840106,0.20390834
0.395318919,0.76488242,0.418341969,0.803197174,0.387723703,0.770818955,0.365965899,0.736958716,0.104681081,0.081658031,0.112276297,0.134034101
0.511737773,0.581585821,0.467274727,0.593861158,0.33884501,0.527594032,0.539205438,0.592404743,0.011737773,0.032725273,0.16115499,0.039205438
0.520993755,0.649615861,0.573551041,0.618788344,0.471791459,0.586833774,0.492627838,0.620027371,0.020993755,0.073551041,0.028208541,0.007372162
0.418149857,0.820624053,0.467511306,0.809506531,0.46009267,0.739058793,0.456600119,0.803950009,0.081850143,0.032488694,0.03990733,0.043399881
0.467444054,0.703329316,0.488480765,0.652362214,0.467701648,0.669990062,0.481932875,0.73022961,0.032555946,0.011519235,0.032298352,0.018067125
0.638854743,0.690049708,0.662899549,0.687340268,0.698934949,0.724247266,0.607401931,0.688572463,0.138854743,0.162899549,0.198934949,0.107401931
0.585873444,0.522850651,0.608745399,0.515748501,0.615495802,0.525956307,0.594716831,0.554592742,0.085873444,0.108745399,0.115495802,0.094716831
0.590697731,0.663894373,0.664461437,0.67474386,0.635821382,0.662546312,0.59972345,0.636903579,0.090697731,0.164461437,0.135821382,0.09972345
0.514650102,0.813925196,0.43684826,0.780728637,0.447451514,0.820640054,0.497395581,0.829616967,0.014650102,0.06315174,0.052548486,0.002604419
0.354712847,0.458863294,0.424030785,0.478738236,0.422226192,0.482148687,0.299020513,0.482701004,0.145287153,0.075969215,0.077773808,0.200979487
0.595091387,0.692423446,0.580380372,0.681552915,0.554239532,0.608580117,0.581226033,0.712058231,0.095091387,0.080380372,0.054239532,0.081226033
0.471201944,0.430128091,0.479736003,0.454757208,0.544693475,0.425676264,0.421970904,0.4196284,0.028798056,0.020263997,0.044693475,0.078029096
0.519563103,0.736262694,0.524082157,0.725105644,0.539239355,0.764984213,0.505813416,0.772072794,0.019563103,0.024082157,0.039239355,0.005813416
0.411914897,0.755939255,0.395750552,0.78879561,0.412249286,0.767650883,0.433115003,0.772290281,0.088085103,0.104249448,0.087750714,0.066884997
0.686260391,0.715461949,0.832098654,0.743248392,0.815921239,0.777377044,0.708936533,0.697885922,0.186260391,0.332098654,0.315921239,0.208936533
0.646829361,0.556471124,0.624168519,0.558096037,0.631685321,0.639008474,0.690945707,0.55789883,0.146829361,0.124168519,0.131685321,0.190945707
0.711875003,0.902746098,0.567186265,0.859476732,0.583495177,0.872415154,0.757506168,0.906120681,0.211875003,0.067186265,0.083495177,0.257506168
0.544409109,0.617419084,0.523466756,0.602016561,0.541051227,0.635552882,0.565669171,0.645758922,0.044409109,0.023466756,0.041051227,0.065669171
0.717783823,0.761324025,0.634859571,0.789835609,0.549135224,0.738880232,0.690946443,0.783911836,0.217783823,0.134859571,0.049135224,0.190946443
0.795813759,0.782566999,0.672963009,0.735120077,0.66428462,0.711184844,0.873811084,0.774315881,0.295813759,0.172963009,0.16428462,0.373811084
0.784417737,0.956854046,0.751428912,0.947518441,0.715796254,0.927355041,0.832804356,0.960517799,0.284417737,0.251428912,0.215796254,0.332804356
0.291691934,0.743348811,0.354318648,0.758454444,0.375381794,0.777999051,0.281802951,0.727798851,0.208308066,0.145681352,0.124618206,0.218197049
0.597038141,0.728818547,0.484563936,0.678216662,0.452821075,0.671073618,0.580978595,0.723318285,0.097038141,0.015436064,0.047178925,0.080978595
0.725843631,0.589499399,0.784055811,0.586977629,0.732924889,0.563105071,0.711892097,0.592358394,0.225843631,0.284055811,0.232924889,0.211892097
0.440904164,0.548896214,0.354005748,0.50660675,0.423143357,0.528100052,0.424052236,0.539790918,0.059095836,0.145994252,0.076856643,0.075947764
0.347818485,0.584334122,0.277198313,0.557679205,0.286125839,0.574575136,0.366261609,0.590658865,0.152181515,0.222801687,0.213874161,0.133738391
