inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs1,abs2,abs3
0.504062258,0.90089069,0.397256517,0.831727213,0.468955774,0.866899311,0.501685794,0.902529217,0.102743483,0.031044226,0.001685794
0.584847761,0.579784464,0.69171175,0.622904399,0.537995457,0.56074487,0.607720207,0.563990091,0.19171175,0.037995457,0.107720207
0.604951527,0.608978327,0.591087185,0.608396907,0.518569939,0.568589069,0.619995803,0.592521448,0.091087185,0.018569939,0.119995803
0.510651919,0.759656193,0.453492049,0.743402171,0.426192608,0.700277388,0.438747026,0.751930213,0.046507951,0.073807392,0.061252974
0.511184213,0.797759156,0.49154434,0.758921021,0.493815481,0.723030168,0.487796633,0.806285343,0.00845566,0.006184519,0.012203367
0.960686308,0.749861322,0.949496931,0.752402658,0.804059019,0.686527912,0.965356456,0.756981374,0.449496931,0.304059019,0.465356456
0.547651101,0.851287529,0.330936336,0.807452735,0.462234961,0.823564264,0.547899281,0.882261616,0.169063664,0.037765039,0.047899281
0.555989357,0.924649646,0.438650612,0.887323378,0.428810899,0.849737376,0.536452719,0.930515931,0.061349388,0.071189101,0.036452719
0.806675663,0.779407652,0.733003661,0.765907331,0.788019772,0.764136322,0.78060599,0.785585003,0.233003661,0.288019772,0.28060599
0.621168025,0.817134492,0.579589021,0.807650578,0.302678655,0.733824831,0.570599224,0.860913551,0.079589021,0.197321345,0.070599224
0.579863076,0.853497876,0.479598698,0.773991237,0.401651108,0.75594226,0.580170395,0.867775649,0.020401302,0.098348892,0.080170395
0.805572132,0.827318925,0.596902138,0.744428481,0.686737491,0.776551981,0.7897956,0.839878331,0.096902138,0.186737491,0.2897956
0.685237679,0.844207608,0.598924434,0.782767283,0.606697465,0.791138399,0.724622872,0.857827407,0.098924434,0.106697465,0.224622872
0.56115316,1.032211635,0.567805117,0.990061258,0.504528045,0.970526884,0.587468592,1.033231541,0.067805117,0.004528045,0.087468592
0.602734158,0.689934247,0.519458222,0.644280243,0.551629101,0.64126089,0.578892661,0.69761889,0.019458222,0.051629101,0.078892661
0.683789488,0.837460437,0.548801019,0.765971408,0.685014273,0.845425396,0.723562725,0.839834294,0.048801019,0.185014273,0.223562725
0.680416589,0.947034982,0.679183045,0.931738557,0.529817255,0.897191465,0.684660988,0.925790895,0.179183045,0.029817255,0.184660988
0.652139831,0.821170983,0.626525461,0.793726727,0.673481778,0.822057005,0.665027858,0.864167227,0.126525461,0.173481778,0.165027858
0.892075236,0.80304032,0.767014757,0.773140462,0.836774347,0.773127936,0.913580213,0.774167721,0.267014757,0.336774347,0.413580213
0.688436293,0.61660481,0.634116556,0.612421253,0.638296622,0.582731473,0.676803419,0.642401886,0.134116556,0.138296622,0.176803419
0.757128285,0.740161068,0.766677837,0.735621111,0.644534056,0.752183097,0.77241276,0.765280956,0.266677837,0.144534056,0.27241276
0.602170361,0.955756571,0.610083253,0.92963105,0.509645952,0.872992852,0.60582761,0.964362874,0.110083253,0.009645952,0.10582761
0.702370428,0.622118428,0.662178769,0.584303428,0.571736694,0.539099595,0.697251049,0.60873739,0.162178769,0.071736694,0.197251049
0.663055308,0.807089736,0.470037578,0.721064715,0.754405344,0.816529173,0.667778046,0.817282915,0.029962422,0.254405344,0.167778046
0.756636066,0.646693992,0.750234188,0.626060343,0.738111319,0.61021204,0.723663065,0.660159024,0.250234188,0.238111319,0.223663065
0.519330052,0.812725628,0.518255536,0.812237614,0.562657409,0.813689432,0.542624991,0.818220463,0.018255536,0.062657409,0.042624991
0.61377677,0.894676281,0.503100873,0.875040365,0.592276419,0.892390317,0.574974948,0.895857534,0.003100873,0.092276419,0.074974948
0.915738057,0.807124732,0.738115305,0.714542375,0.753759212,0.740967072,0.974058537,0.795648797,0.238115305,0.253759212,0.474058537
0.728732019,0.74721409,0.639417957,0.692568668,0.729385651,0.712098367,0.725352827,0.736752041,0.139417957,0.229385651,0.225352827
0.885883094,0.986064375,0.724297596,0.933235293,0.799153717,0.947816935,0.877120188,0.989911032,0.224297596,0.299153717,0.377120188
0.626750191,0.6933311,0.620364677,0.667835815,0.639124927,0.656259344,0.624304615,0.70352431,0.120364677,0.139124927,0.124304615
0.984216961,0.864337006,0.733346521,0.793269642,0.736960199,0.793125419,0.959018009,0.855980906,0.233346521,0.236960199,0.459018009
0.884984998,0.826009118,0.815088202,0.827963912,0.819591001,0.829698607,0.880750632,0.799822912,0.315088202,0.319591001,0.380750632
0.786987312,1.070856872,0.60059537,0.966245979,0.682682905,1.033334104,0.771125861,1.052806169,0.10059537,0.182682905,0.271125861
0.576334161,0.847064725,0.455327065,0.802164208,0.463169395,0.798942021,0.548761129,0.855958027,0.044672935,0.036830605,0.048761129
0.637847782,0.79063831,0.501179954,0.761646485,0.39135225,0.726398274,0.61726953,0.813710406,0.001179954,0.10864775,0.11726953
0.906393242,0.770398442,0.820199597,0.736584268,0.754134199,0.709350506,0.92394361,0.787666782,0.320199597,0.254134199,0.42394361
0.50864058,0.716790878,0.469971618,0.720906602,0.502693938,0.720368519,0.515600322,0.689365483,0.030028382,0.002693938,0.015600322
0.598496322,0.792662013,0.470154009,0.743494808,0.444971454,0.698943122,0.612968945,0.792302592,0.029845991,0.055028546,0.112968945
0.715744213,0.768586488,0.648367085,0.778483041,0.559019057,0.731378858,0.639211194,0.771891788,0.148367085,0.059019057,0.139211194
0.778395544,0.841514346,0.691099327,0.791418514,0.668761547,0.782104587,0.767029854,0.823018476,0.191099327,0.168761547,0.267029854
0.752900728,0.745595621,0.625872991,0.698022716,0.667178322,0.708309972,0.776358991,0.744504116,0.125872991,0.167178322,0.276358991
0.869404187,0.686902327,0.810340286,0.653151614,0.870220676,0.673136231,0.856171496,0.686800656,0.310340286,0.370220676,0.356171496
0.486737216,0.924470826,0.497973021,0.933540886,0.332570788,0.883607189,0.514973212,0.946052332,0.002026979,0.167429212,0.014973212
0.752585806,0.853249527,0.668125051,0.790685559,0.704285108,0.7917287,0.716862624,0.881865203,0.168125051,0.204285108,0.216862624
0.694492145,1.022890153,0.584744666,1.005958284,0.625026015,1.037193799,0.699071534,1.010316598,0.084744666,0.125026015,0.199071534
