inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.55423323,0.897762578,0.336948195,0.800457435,0.485189916,0.825902945,0.558220126,0.899521511,0.014810084
0.680121821,0.558636314,0.709119174,0.575427616,0.672344123,0.561414285,0.691633227,0.543635963,0.172344123
0.560446305,0.607220645,0.56226908,0.597939962,0.551767941,0.611365752,0.583146431,0.591598668,0.051767941
0.552098822,0.757226568,0.510089522,0.720769677,0.327192554,0.643191618,0.475706947,0.750335615,0.172807446
0.790654625,0.783566353,0.638658301,0.726386954,0.626382984,0.758430983,0.745219736,0.796531452,0.126382984
0.967946832,0.732789897,0.865166554,0.725170471,0.815774561,0.688687544,0.967140373,0.74676454,0.315774561
0.748223953,0.84769756,0.511044039,0.779223522,0.380756801,0.720122785,0.7555965,0.877703799,0.119243199
0.518742563,0.933718568,0.472110215,0.932032733,0.350175509,0.91811253,0.486841112,0.943592025,0.149824491
0.834691736,0.79695633,0.642587691,0.678714764,0.864397266,0.78522217,0.80679996,0.802507339,0.364397266
0.69579106,0.80527514,0.652428805,0.791965894,0.402911292,0.762793827,0.635144396,0.849929905,0.097088708
0.540839785,0.853641003,0.38111597,0.742021181,0.406515868,0.734126611,0.543678295,0.867841182,0.093484132
0.822412533,0.834743928,0.643221432,0.783309237,0.689534587,0.773916462,0.821163731,0.845994639,0.189534587
0.780190722,0.84341551,0.57748436,0.752680808,0.580263692,0.735496168,0.837894463,0.857114041,0.080263692
0.702672556,1.018659518,0.509415538,0.879764817,0.516328128,0.917063363,0.697254554,1.019584754,0.016328128
0.525828747,0.691203618,0.427096649,0.667552488,0.482464575,0.649093896,0.489425054,0.699073408,0.017535425
0.72894747,0.838875677,0.458744364,0.714553084,0.728461627,0.856023309,0.752601512,0.843273219,0.228461627
0.750153219,0.948297424,0.612427591,0.874506024,0.587180723,0.891336014,0.76325035,0.928351069,0.087180723
0.692788239,0.809966505,0.593453924,0.761131879,0.735623163,0.794579093,0.69956103,0.855276948,0.235623163
0.869573529,0.804035274,0.637295541,0.732432988,0.72809863,0.762237253,0.896013185,0.774017696,0.22809863
0.732042175,0.618007208,0.678644771,0.58989469,0.596022117,0.567659496,0.713284068,0.644708634,0.096022117
0.938864639,0.751920281,1.006213362,0.768353322,0.867421573,0.783394413,0.937453363,0.777756894,0.367421573
0.791025164,0.925628429,0.79638099,0.895553909,0.616354965,0.876357341,0.792558907,0.933347764,0.116354965
0.595304028,0.625857191,0.547876281,0.616561533,0.400530282,0.522778844,0.606082452,0.614512456,0.099469718
0.74819084,0.767581305,0.266292034,0.582677797,0.787579396,0.732310745,0.740545286,0.778076235,0.287579396
0.82169184,0.647657426,0.539758251,0.560373393,0.722444725,0.604021843,0.786545233,0.661107971,0.222444725
0.612270686,0.819022483,0.601330299,0.806394625,0.501455644,0.776836428,0.634322741,0.825495685,0.001455644
0.582123756,0.906252589,0.532566569,0.907809006,0.556306959,0.894332113,0.536474223,0.905213225,0.056306959
0.913845445,0.830065027,0.640911745,0.746428998,0.790863643,0.794568925,0.977237322,0.814187611,0.290863643
0.707379291,0.758149259,0.618529841,0.748354764,0.665502156,0.721731882,0.695518673,0.748946198,0.165502156
0.948467078,0.987509834,0.880136207,0.969184204,0.804049525,0.941808174,0.955280632,0.989797446,0.304049525
0.482843264,0.69955291,0.464475862,0.69993656,0.491357674,0.685034208,0.462267312,0.703891132,0.008642326
1.023311611,0.846406965,0.678747415,0.776403406,0.695904275,0.778576572,0.989174006,0.840384567,0.195904275
0.93231627,0.850626513,0.849374953,0.815240505,0.828677444,0.837881152,0.92555813,0.82523226,0.328677444
0.915156542,1.070731354,0.776618766,1.009574365,0.803765086,1.024395001,0.900997794,1.051138251,0.303765086
0.721612358,0.822315756,0.530600715,0.804112238,0.451621465,0.781170617,0.713986891,0.829465211,0.048378535
0.697860845,0.780414913,0.509370677,0.74172357,0.615851754,0.758670804,0.676402237,0.803481512,0.115851754
1.053318725,0.765304101,0.85886914,0.657344611,0.820960314,0.716872033,1.118986627,0.776443186,0.320960314
0.501643302,0.719016003,0.32759447,0.658524612,0.469790955,0.708907929,0.504588836,0.692706244,0.030209045
0.758144029,0.782807316,0.670023565,0.753865511,0.358149321,0.63724859,0.770908219,0.783687954,0.141850679
0.763279753,0.762144209,0.706562499,0.779954864,0.700607993,0.744706576,0.680608772,0.765920549,0.200607993
0.783986372,0.825091695,0.682058033,0.772350096,0.745455668,0.80075108,0.771980169,0.808751392,0.245455668
0.682083923,0.765760636,0.465583596,0.729494651,0.520580735,0.692966197,0.726308123,0.761493425,0.020580735
0.717575578,0.708729627,0.701524219,0.708245578,0.6663366,0.704906848,0.704237695,0.712363428,0.1663366
0.506577061,0.922323108,0.358368313,0.877782671,0.277562257,0.845713274,0.544597489,0.942658586,0.222437743
0.882602178,0.852481225,0.889660138,0.859643973,0.774294497,0.77970335,0.829875715,0.87856607,0.274294497
0.696073185,1.019192269,0.692820533,1.009059055,0.771930078,1.022741559,0.706282678,1.003912235,0.271930078
0.789615941,0.924052639,0.734256675,0.881799446,0.581262003,0.812725356,0.842579758,0.891684176,0.081262003
0.594723775,0.951363243,0.323861212,0.909936345,0.34496072,0.865647479,0.554216477,0.96009147,0.15503928
0.604334064,0.84035571,0.529062,0.775881976,0.513365958,0.782025757,0.603669068,0.857972424,0.013365958
0.510412229,0.748012521,0.53258571,0.749646164,0.495270622,0.749992018,0.521300358,0.764618168,0.004729378
0.75156377,0.933957631,0.570967595,0.879440119,0.572071797,0.8730194,0.786602446,0.975623185,0.072071797
0.637577667,0.841973039,0.475064652,0.803996617,0.371951999,0.753902802,0.633117871,0.834361862,0.128048001
1.016143563,0.801741508,0.911922763,0.745963884,0.989989255,0.801863301,0.983141167,0.832582235,0.489989255
0.708628316,0.764362735,0.5960131,0.705671354,0.555165781,0.687043356,0.738178317,0.757912646,0.055165781
0.570728561,0.77177317,0.436590112,0.729329962,0.47777699,0.741408241,0.561171059,0.777159554,0.02222301
0.697173755,0.726546771,0.622838818,0.686419243,0.714296153,0.727677162,0.732309469,0.742626194,0.214296153
0.803090966,0.923539669,0.826701757,0.940165866,0.788380678,0.895573192,0.796073625,0.932102763,0.288380678
0.887053709,0.884392102,0.803163356,0.855317359,0.787780143,0.850118873,0.868737997,0.846460428,0.287780143
0.79928231,0.882341444,0.737991923,0.865119363,0.749441814,0.848512948,0.812235844,0.888219824,0.249441814
0.830947099,0.727408682,0.586825357,0.595273182,0.648353196,0.606613135,0.802155384,0.674241703,0.148353196
0.86847988,1.000027261,0.881862444,1.007041797,0.881179494,0.999870842,0.908495004,1.019702794,0.381179494
