inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs0,abs1,abs2,abs3
0.55423323,0.897762578,0.336948195,0.800457435,0.45989152,0.837723199,0.558220126,0.899521511,0.05423323,0.163051805,0.04010848,0.058220126
0.680121821,0.558636314,0.709119174,0.575427616,0.693028873,0.557403011,0.691633227,0.543635963,0.180121821,0.209119174,0.193028873,0.191633227
0.560446305,0.607220645,0.56226908,0.597939962,0.55014201,0.629918173,0.583146431,0.591598668,0.060446305,0.06226908,0.05014201,0.083146431
0.552098822,0.757226568,0.510089522,0.720769677,0.402392233,0.675212201,0.475706947,0.750335615,0.052098822,0.010089522,0.097607767,0.024293053
0.790654625,0.783566353,0.638658301,0.726386954,0.68544187,0.73493598,0.745219736,0.796531452,0.290654625,0.138658301,0.18544187,0.245219736
0.967946832,0.732789897,0.865166554,0.725170471,0.704952905,0.661922946,0.967140373,0.74676454,0.467946832,0.365166554,0.204952905,0.467140373
0.748223953,0.84769756,0.511044039,0.779223522,0.406723993,0.727668846,0.7555965,0.877703799,0.248223953,0.011044039,0.093276007,0.2555965
0.518742563,0.933718568,0.472110215,0.932032733,0.36012186,0.90938689,0.486841112,0.943592025,0.018742563,0.027889785,0.13987814,0.013158888
0.834691736,0.79695633,0.642587691,0.678714764,0.783351773,0.769432882,0.80679996,0.802507339,0.334691736,0.142587691,0.283351773,0.30679996
0.69579106,0.80527514,0.652428805,0.791965894,0.549549279,0.777644292,0.635144396,0.849929905,0.19579106,0.152428805,0.049549279,0.135144396
0.540839785,0.853641003,0.38111597,0.742021181,0.286331291,0.701663501,0.543678295,0.867841182,0.040839785,0.11888403,0.213668709,0.043678295
0.822412533,0.834743928,0.643221432,0.783309237,0.633706289,0.766572863,0.821163731,0.845994639,0.322412533,0.143221432,0.133706289,0.321163731
0.780190722,0.84341551,0.57748436,0.752680808,0.548851961,0.7208172,0.837894463,0.857114041,0.280190722,0.07748436,0.048851961,0.337894463
0.702672556,1.018659518,0.509415538,0.879764817,0.705288155,1.044544151,0.697254554,1.019584754,0.202672556,0.009415538,0.205288155,0.197254554
0.525828747,0.691203618,0.427096649,0.667552488,0.422938809,0.704713046,0.489425054,0.699073408,0.025828747,0.072903351,0.077061191,0.010574946
0.72894747,0.838875677,0.458744364,0.714553084,0.595904756,0.817027098,0.752601512,0.843273219,0.22894747,0.041255636,0.095904756,0.252601512
0.750153219,0.948297424,0.612427591,0.874506024,0.575963547,0.890785496,0.76325035,0.928351069,0.250153219,0.112427591,0.075963547,0.26325035
0.692788239,0.809966505,0.593453924,0.761131879,0.635485968,0.744536852,0.69956103,0.855276948,0.192788239,0.093453924,0.135485968,0.19956103
0.869573529,0.804035274,0.637295541,0.732432988,0.737413544,0.758877809,0.896013185,0.774017696,0.369573529,0.137295541,0.237413544,0.396013185
0.732042175,0.618007208,0.678644771,0.58989469,0.631347936,0.576727373,0.713284068,0.644708634,0.232042175,0.178644771,0.131347936,0.213284068
0.938864639,0.751920281,1.006213362,0.768353322,0.835010444,0.753348755,0.937453363,0.777756894,0.438864639,0.506213362,0.335010444,0.437453363
0.791025164,0.925628429,0.79638099,0.895553909,0.602361202,0.862922009,0.792558907,0.933347764,0.291025164,0.29638099,0.102361202,0.292558907
0.595304028,0.625857191,0.547876281,0.616561533,0.401224338,0.525932908,0.606082452,0.614512456,0.095304028,0.047876281,0.098775662,0.106082452
0.74819084,0.767581305,0.266292034,0.582677797,0.423293525,0.634839372,0.740545286,0.778076235,0.24819084,0.233707966,0.076706475,0.240545286
0.82169184,0.647657426,0.539758251,0.560373393,0.803094416,0.59041644,0.786545233,0.661107971,0.32169184,0.039758251,0.303094416,0.286545233
0.612270686,0.819022483,0.601330299,0.806394625,0.568141513,0.792766092,0.634322741,0.825495685,0.112270686,0.101330299,0.068141513,0.134322741
0.582123756,0.906252589,0.532566569,0.907809006,0.580847473,0.903097489,0.536474223,0.905213225,0.082123756,0.032566569,0.080847473,0.036474223
0.913845445,0.830065027,0.640911745,0.746428998,0.785720642,0.796358122,0.977237322,0.814187611,0.413845445,0.140911745,0.285720642,0.477237322
0.707379291,0.758149259,0.618529841,0.748354764,0.682565066,0.697657985,0.695518673,0.748946198,0.207379291,0.118529841,0.182565066,0.195518673
0.948467078,0.987509834,0.880136207,0.969184204,0.959351065,1.00675146,0.955280632,0.989797446,0.448467078,0.380136207,0.459351065,0.455280632
0.482843264,0.69955291,0.464475862,0.69993656,0.583665754,0.682760427,0.462267312,0.703891132,0.017156736,0.035524138,0.083665754,0.037732688
1.023311611,0.846406965,0.678747415,0.776403406,0.696199895,0.778847551,0.989174006,0.840384567,0.523311611,0.178747415,0.196199895,0.489174006
0.93231627,0.850626513,0.849374953,0.815240505,0.922172722,0.825003546,0.92555813,0.82523226,0.43231627,0.349374953,0.422172722,0.42555813
0.915156542,1.070731354,0.776618766,1.009574365,0.81567584,1.029842215,0.900997794,1.051138251,0.415156542,0.276618766,0.31567584,0.400997794
0.721612358,0.822315756,0.530600715,0.804112238,0.672074628,0.817600533,0.713986891,0.829465211,0.221612358,0.030600715,0.172074628,0.213986891
0.697860845,0.780414913,0.509370677,0.74172357,0.604961728,0.741646738,0.676402237,0.803481512,0.197860845,0.009370677,0.104961728,0.176402237
1.053318725,0.765304101,0.85886914,0.657344611,0.786598854,0.697638394,1.118986627,0.776443186,0.553318725,0.35886914,0.286598854,0.618986627
0.501643302,0.719016003,0.32759447,0.658524612,0.458290423,0.707223415,0.504588836,0.692706244,0.001643302,0.17240553,0.041709577,0.004588836
0.758144029,0.782807316,0.670023565,0.753865511,0.375406887,0.640260085,0.770908219,0.783687954,0.258144029,0.170023565,0.124593113,0.270908219
0.763279753,0.762144209,0.706562499,0.779954864,0.668132992,0.766745161,0.680608772,0.765920549,0.263279753,0.206562499,0.168132992,0.180608772
0.783986372,0.825091695,0.682058033,0.772350096,0.706517025,0.774349658,0.771980169,0.808751392,0.283986372,0.182058033,0.206517025,0.271980169
0.682083923,0.765760636,0.465583596,0.729494651,0.525492015,0.678284899,0.726308123,0.761493425,0.182083923,0.034416404,0.025492015,0.226308123
0.717575578,0.708729627,0.701524219,0.708245578,0.701324324,0.682343797,0.704237695,0.712363428,0.217575578,0.201524219,0.201324324,0.204237695
0.506577061,0.922323108,0.358368313,0.877782671,0.441032553,0.87545304,0.544597489,0.942658586,0.006577061,0.141631687,0.058967447,0.044597489
0.882602178,0.852481225,0.889660138,0.859643973,0.871679599,0.846407308,0.829875715,0.87856607,0.382602178,0.389660138,0.371679599,0.329875715
0.696073185,1.019192269,0.692820533,1.009059055,0.716618051,1.019604816,0.706282678,1.003912235,0.196073185,0.192820533,0.216618051,0.206282678
0.789615941,0.924052639,0.734256675,0.881799446,0.722502358,0.899369235,0.842579758,0.891684176,0.289615941,0.234256675,0.222502358,0.342579758
0.594723775,0.951363243,0.323861212,0.909936345,0.31277611,0.870962867,0.554216477,0.96009147,0.094723775,0.176138788,0.18722389,0.054216477
0.604334064,0.84035571,0.529062,0.775881976,0.580578873,0.813332825,0.603669068,0.857972424,0.104334064,0.029062,0.080578873,0.103669068
0.510412229,0.748012521,0.53258571,0.749646164,0.497239992,0.781810401,0.521300358,0.764618168,0.010412229,0.03258571,0.002760008,0.021300358
0.75156377,0.933957631,0.570967595,0.879440119,0.596442132,0.876166343,0.786602446,0.975623185,0.25156377,0.070967595,0.096442132,0.286602446
0.637577667,0.841973039,0.475064652,0.803996617,0.354620984,0.75088982,0.633117871,0.834361862,0.137577667,0.024935348,0.145379016,0.133117871
1.016143563,0.801741508,0.911922763,0.745963884,1.01750121,0.810502442,0.983141167,0.832582235,0.516143563,0.411922763,0.51750121,0.483141167
0.708628316,0.764362735,0.5960131,0.705671354,0.81266345,0.793995187,0.738178317,0.757912646,0.208628316,0.0960131,0.31266345,0.238178317
0.570728561,0.77177317,0.436590112,0.729329962,0.475434135,0.747666014,0.561171059,0.777159554,0.070728561,0.063409888,0.024565865,0.061171059
0.697173755,0.726546771,0.622838818,0.686419243,0.700887959,0.72483089,0.732309469,0.742626194,0.197173755,0.122838818,0.200887959,0.232309469
0.803090966,0.923539669,0.826701757,0.940165866,0.772170113,0.894258739,0.796073625,0.932102763,0.303090966,0.326701757,0.272170113,0.296073625
0.887053709,0.884392102,0.803163356,0.855317359,0.807952696,0.856270651,0.868737997,0.846460428,0.387053709,0.303163356,0.307952696,0.368737997
0.79928231,0.882341444,0.737991923,0.865119363,0.802521822,0.864720911,0.812235844,0.888219824,0.29928231,0.237991923,0.302521822,0.312235844
0.830947099,0.727408682,0.586825357,0.595273182,0.583873512,0.568622765,0.802155384,0.674241703,0.330947099,0.086825357,0.083873512,0.302155384
0.86847988,1.000027261,0.881862444,1.007041797,0.863637722,0.996137448,0.908495004,1.019702794,0.36847988,0.381862444,0.363637722,0.408495004
0.709642594,0.894762883,0.534182928,0.892219481,0.600809254,0.859828672,0.69978659,0.895556239,0.209642594,0.034182928,0.100809254,0.19978659
0.928954493,0.876168646,0.967606936,0.87017339,0.867713383,0.856428868,0.94314927,0.88321719,0.428954493,0.467606936,0.367713383,0.44314927
0.62006623,0.879762611,0.386378998,0.751256935,0.414020282,0.816956067,0.633063481,0.940184475,0.12006623,0.113621002,0.085979718,0.133063481
0.721393656,0.774826216,0.665818316,0.764905922,0.695702526,0.826529407,0.712849943,0.803786422,0.221393656,0.165818316,0.195702526,0.212849943
0.698700705,0.918860512,0.366664075,0.832372895,0.434885974,0.7842795,0.666057705,0.909033493,0.198700705,0.133335925,0.065114026,0.166057705
0.7849985,0.888212738,0.581181543,0.806999881,0.709949833,0.859594005,0.776488162,0.889619281,0.2849985,0.081181543,0.209949833,0.276488162
0.920366261,0.777704715,0.795587789,0.709125541,0.921983325,0.76929554,0.930932633,0.785003271,0.420366261,0.295587789,0.421983325,0.430932633
0.998405715,0.674928951,0.924217499,0.674990019,0.861671972,0.648685042,0.972816553,0.742038169,0.498405715,0.424217499,0.361671972,0.472816553
1.103764893,0.710055865,0.681965122,0.569663017,0.83547138,0.627320906,1.133593379,0.719509554,0.603764893,0.181965122,0.33547138,0.633593379
0.609299352,0.914241894,0.415941842,0.824891684,0.403756911,0.824999567,0.643787212,0.894501817,0.109299352,0.084058158,0.096243089,0.143787212
0.782364221,0.869071516,0.567595433,0.794925631,0.484628258,0.768927995,0.771410948,0.891615707,0.282364221,0.067595433,0.015371742,0.271410948
0.639108043,1.023965166,0.474899191,0.990597947,0.532913335,1.021842034,0.657634854,1.020733608,0.139108043,0.025100809,0.032913335,0.157634854
0.388992305,0.852193893,0.165797066,0.79388888,0.138572185,0.784675682,0.327587242,0.905682482,0.111007695,0.334202934,0.361427815,0.172412758
