inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs2,abs1
0.55423323,0.897762578,0.336948195,0.800457435,0.343541501,0.789727682,0.558220126,0.899521511,0.156458499,0.163051805
0.680121821,0.558636314,0.709119174,0.575427616,0.552617049,0.538137884,0.691633227,0.543635963,0.052617049,0.209119174
0.560446305,0.607220645,0.56226908,0.597939962,0.502196267,0.595650377,0.583146431,0.591598668,0.002196267,0.06226908
0.552098822,0.757226568,0.510089522,0.720769677,0.566871231,0.739696248,0.475706947,0.750335615,0.066871231,0.010089522
0.790654625,0.783566353,0.638658301,0.726386954,0.698741802,0.745086909,0.745219736,0.796531452,0.198741802,0.138658301
0.967946832,0.732789897,0.865166554,0.725170471,0.875968123,0.70591851,0.967140373,0.74676454,0.375968123,0.365166554
0.748223953,0.84769756,0.511044039,0.779223522,0.394863431,0.75407541,0.7555965,0.877703799,0.105136569,0.011044039
0.518742563,0.933718568,0.472110215,0.932032733,0.325367827,0.900833089,0.486841112,0.943592025,0.174632173,0.027889785
0.834691736,0.79695633,0.642587691,0.678714764,0.700116088,0.729755045,0.80679996,0.802507339,0.200116088,0.142587691
0.69579106,0.80527514,0.652428805,0.791965894,0.517301125,0.748178055,0.635144396,0.849929905,0.017301125,0.152428805
0.540839785,0.853641003,0.38111597,0.742021181,0.310999934,0.747691312,0.543678295,0.867841182,0.189000066,0.11888403
0.822412533,0.834743928,0.643221432,0.783309237,0.656200337,0.777474393,0.821163731,0.845994639,0.156200337,0.143221432
0.780190722,0.84341551,0.57748436,0.752680808,0.671352934,0.769440019,0.837894463,0.857114041,0.171352934,0.07748436
0.702672556,1.018659518,0.509415538,0.879764817,0.468463066,0.903393149,0.697254554,1.019584754,0.031536934,0.009415538
0.525828747,0.691203618,0.427096649,0.667552488,0.461704964,0.684946215,0.489425054,0.699073408,0.038295036,0.072903351
0.72894747,0.838875677,0.458744364,0.714553084,0.447629111,0.641710462,0.752601512,0.843273219,0.052370889,0.041255636
0.750153219,0.948297424,0.612427591,0.874506024,0.630834741,0.865544145,0.76325035,0.928351069,0.130834741,0.112427591
0.692788239,0.809966505,0.593453924,0.761131879,0.682107298,0.790512618,0.69956103,0.855276948,0.182107298,0.093453924
0.869573529,0.804035274,0.637295541,0.732432988,0.726626162,0.732235788,0.896013185,0.774017696,0.226626162,0.137295541
0.732042175,0.618007208,0.678644771,0.58989469,0.646462972,0.55525357,0.713284068,0.644708634,0.146462972,0.178644771
0.938864639,0.751920281,1.006213362,0.768353322,0.865573418,0.719052037,0.937453363,0.777756894,0.365573418,0.506213362
0.791025164,0.925628429,0.79638099,0.895553909,0.66475696,0.866866902,0.792558907,0.933347764,0.16475696,0.29638099
0.595304028,0.625857191,0.547876281,0.616561533,0.382514397,0.549610472,0.606082452,0.614512456,0.117485603,0.047876281
0.74819084,0.767581305,0.266292034,0.582677797,0.495401001,0.641816816,0.740545286,0.778076235,0.004598999,0.233707966
0.82169184,0.647657426,0.539758251,0.560373393,0.639844569,0.578229842,0.786545233,0.661107971,0.139844569,0.039758251
0.612270686,0.819022483,0.601330299,0.806394625,0.580029343,0.787606965,0.634322741,0.825495685,0.080029343,0.101330299
0.582123756,0.906252589,0.532566569,0.907809006,0.429224766,0.876369815,0.536474223,0.905213225,0.070775234,0.032566569
0.913845445,0.830065027,0.640911745,0.746428998,0.781515727,0.801238418,0.977237322,0.814187611,0.281515727,0.140911745
0.707379291,0.758149259,0.618529841,0.748354764,0.45945433,0.672341017,0.695518673,0.748946198,0.04054567,0.118529841
0.948467078,0.987509834,0.880136207,0.969184204,0.687372448,0.914262822,0.955280632,0.989797446,0.187372448,0.380136207
0.482843264,0.69955291,0.464475862,0.69993656,0.351636604,0.665455646,0.462267312,0.703891132,0.148363396,0.035524138
