inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs0,abs1,abs2,abs3
1.6904614,1.417099557,1.452789673,1.32024908,1.836525414,1.391064746,1.685463344,1.423028751,0.6904614,0.452789673,0.836525414,0.685463344
1.777708976,1.185052389,1.765038982,1.183884255,1.386889467,1.099033884,1.812999496,1.163744206,0.777708976,0.765038982,0.386889467,0.812999496
1.991982745,1.275875204,1.836534618,1.222039765,1.453338543,1.178029694,1.993296815,1.276816419,0.991982745,0.836534618,0.453338543,0.993296815
1.879856925,1.357831761,1.87603727,1.338299098,1.852561279,1.355987616,1.830533008,1.360227613,0.879856925,0.87603727,0.852561279,0.830533008
1.968272651,1.401610299,1.933921841,1.407968374,1.959004715,1.411291673,1.924416769,1.418911658,0.968272651,0.933921841,0.959004715,0.924416769
1.74346432,1.324168913,1.756013091,1.292669633,1.482033427,1.251903299,1.686233993,1.34936486,0.74346432,0.756013091,0.482033427,0.686233993
1.839234672,1.385073468,1.770771674,1.406665681,2.06160734,1.43499247,1.801863054,1.407692139,0.839234672,0.770771674,1.06160734,0.801863054
1.42131071,1.47596518,1.249261016,1.444461386,0.956882217,1.435367187,1.352967403,1.497547546,0.42131071,0.249261016,0.043117783,0.352967403
1.859076981,1.369854335,1.738742536,1.30826169,1.807381978,1.364107958,1.817669353,1.3843754,0.859076981,0.738742536,0.807381978,0.817669353
1.834359586,1.290436272,1.831222584,1.302520212,1.104394748,1.20884386,1.774902472,1.326019687,0.834359586,0.831222584,0.104394748,0.774902472
1.71755832,1.384984604,1.511435629,1.296858946,1.202144634,1.259357369,1.722612498,1.383802975,0.71755832,0.511435629,0.202144634,0.722612498
1.642964724,1.406044764,1.219757967,1.308926647,0.92927127,1.257289379,1.635372189,1.404606815,0.642964724,0.219757967,0.07072873,0.635372189
1.700471127,1.393451471,1.55554651,1.367258905,1.681585274,1.333759197,1.732317039,1.382762383,0.700471127,0.55554651,0.681585274,0.732317039
1.64662971,1.59583464,1.238372213,1.502024904,1.378048507,1.526764827,1.588446877,1.617991108,0.64662971,0.238372213,0.378048507,0.588446877
1.792956996,1.335321669,1.707324095,1.330326466,1.275698776,1.26532852,1.745728754,1.351867191,0.792956996,0.707324095,0.275698776,0.745728754
2.042924538,1.26742971,1.794267114,1.277300756,2.004712209,1.285013039,2.016535599,1.278609284,1.042924538,0.794267114,1.004712209,1.016535599
1.532463273,1.542261291,1.462680202,1.486250824,1.242470249,1.46945747,1.5539525,1.525810226,0.532463273,0.462680202,0.242470249,0.5539525
1.623051726,1.356789791,1.505159061,1.336907258,1.675487428,1.372634023,1.649910818,1.383553046,0.623051726,0.505159061,0.675487428,0.649910818
1.770090488,1.386592372,1.371478974,1.297905888,1.299002635,1.283957288,1.805342971,1.357934031,0.770090488,0.371478974,0.299002635,0.805342971
1.975268825,1.25845384,1.96747481,1.253331627,1.793909976,1.225717378,1.926953681,1.273964617,0.975268825,0.96747481,0.793909976,0.926953681
1.973451853,1.275196545,1.938834941,1.273117709,1.803542155,1.264562975,1.936982363,1.295116866,0.973451853,0.938834941,0.803542155,0.936982363
1.679730147,1.491878567,1.615108607,1.45647873,1.534418853,1.434271572,1.679883452,1.495654765,0.679730147,0.615108607,0.534418853,0.679883452
2.10865723,1.185778921,1.539631962,1.068885802,1.7277439,1.132737548,2.123061984,1.189397759,1.10865723,0.539631962,0.7277439,1.123061984
1.615392694,1.362539071,1.119363064,1.309611,1.786550156,1.295653644,1.57915082,1.385475634,0.615392694,0.119363064,0.786550156,0.57915082
1.788625389,1.34605214,1.277784048,1.281272519,1.641242002,1.302285495,1.724160057,1.364648387,0.788625389,0.277784048,0.641242002,0.724160057
1.535220391,1.394244144,1.23642366,1.353416295,1.350432616,1.364092793,1.522072683,1.395252263,0.535220391,0.23642366,0.350432616,0.522072683
1.738215453,1.507552365,1.584877104,1.507291332,1.632566901,1.526731591,1.704775311,1.49815229,0.738215453,0.584877104,0.632566901,0.704775311
2.048822357,1.340439915,2.041817125,1.34465966,2.233777717,1.37901491,2.162495525,1.327686027,1.048822357,1.041817125,1.233777717,1.162495525
1.772780577,1.379134658,1.287673738,1.278406206,1.682192625,1.361552981,1.735197486,1.386166955,0.772780577,0.287673738,0.682192625,0.735197486
1.8294473,1.45898408,1.518799058,1.390713457,1.567158645,1.411603263,1.823078622,1.461813231,0.8294473,0.518799058,0.567158645,0.823078622
1.755517961,1.275597711,1.80285818,1.280867383,1.721145652,1.245920173,1.708714865,1.283079753,0.755517961,0.80285818,0.721145652,0.708714865
1.818943063,1.432106181,1.829690359,1.41927801,1.197131212,1.350446819,1.791222845,1.425740807,0.818943063,0.829690359,0.197131212,0.791222845
1.750505063,1.421787543,1.484330736,1.354444545,1.784373138,1.420782327,1.714554949,1.429954153,0.750505063,0.484330736,0.784373138,0.714554949
1.710250919,1.512986849,1.493927658,1.479025957,1.52885102,1.462331731,1.698094403,1.514562645,0.710250919,0.493927658,0.52885102,0.698094403
1.605167841,1.399773137,1.128123775,1.362108033,1.209155254,1.342121128,1.625624025,1.40022243,0.605167841,0.128123775,0.209155254,0.625624025
1.752231189,1.28911632,1.44037149,1.274313666,1.40272394,1.236425572,1.744020031,1.3060517,0.752231189,0.44037149,0.40272394,0.744020031
1.933847739,1.422897105,1.93647373,1.438769662,1.081435132,1.269251088,2.007127667,1.421531585,0.933847739,0.93647373,0.081435132,1.007127667
1.57050632,1.357788714,1.564210428,1.364454121,1.483244174,1.360153462,1.550912216,1.359457333,0.57050632,0.564210428,0.483244174,0.550912216
1.830206542,1.352710029,1.242533871,1.26491538,1.260269527,1.270219736,1.819632921,1.357169984,0.830206542,0.242533871,0.260269527,0.819632921
1.663529873,1.373229235,1.583865293,1.391857166,1.505528711,1.369617251,1.61815068,1.379200274,0.663529873,0.583865293,0.505528711,0.61815068
1.741522524,1.462003522,1.711970719,1.439191552,1.792675279,1.482670073,1.802631642,1.438543994,0.741522524,0.711970719,0.792675279,0.802631642
1.759343571,1.417890739,1.686895044,1.335727179,1.10359532,1.2261112,1.806001887,1.411729516,0.759343571,0.686895044,0.10359532,0.806001887
1.658672416,1.334597273,1.568910939,1.263782745,1.449683319,1.287298432,1.642708685,1.343482342,0.658672416,0.568910939,0.449683319,0.642708685
1.605158593,1.409991818,1.425488963,1.395731072,1.283005447,1.400455548,1.589060119,1.428658267,0.605158593,0.425488963,0.283005447,0.589060119
1.700779649,1.367548356,1.759813045,1.359935996,1.414199879,1.291538231,1.659021753,1.385588711,0.700779649,0.759813045,0.414199879,0.659021753
1.760852734,1.529814853,1.618513097,1.531749878,1.822395701,1.514929958,1.76071575,1.531598472,0.760852734,0.618513097,0.822395701,0.76071575
1.860870048,1.504149653,1.845160983,1.489250896,1.297056752,1.338137292,1.885450852,1.478251316,0.860870048,0.845160983,0.297056752,0.885450852
1.846941567,1.467721654,1.43060639,1.41700601,1.791534263,1.483801623,1.825031263,1.469346331,0.846941567,0.43060639,0.791534263,0.825031263
1.891477907,1.279154803,1.439790656,1.242358371,1.64939719,1.26854295,1.895422782,1.292833348,0.891477907,0.439790656,0.64939719,0.895422782
1.462865961,1.516047078,1.371131324,1.455547707,1.42690524,1.499144618,1.460256034,1.527503261,0.462865961,0.371131324,0.42690524,0.460256034
1.550053674,1.485695368,1.440761786,1.473092699,1.25488576,1.455259532,1.562364254,1.516725698,0.550053674,0.440761786,0.25488576,0.562364254
1.72599122,1.431019388,1.079301036,1.322524288,1.169431611,1.32070897,1.788137161,1.411695031,0.72599122,0.079301036,0.169431611,0.788137161
1.909750428,1.364447633,1.975488253,1.380652731,2.09537458,1.422943244,1.855816074,1.393266008,0.909750428,0.975488253,1.09537458,0.855816074
