inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs2,abs1
0.502047091,0.901041646,0.503287844,0.902640089,0.510100967,0.88492204,0.511910114,0.901930849,0.010100967,0.003287844
0.536370622,0.594016245,0.561992359,0.601961909,0.539158748,0.640105215,0.531051101,0.580941353,0.039158748,0.061992359
0.569324289,0.605061576,0.561758448,0.601335815,0.575543293,0.611852843,0.570339894,0.589845122,0.075543293,0.061758448
0.503901707,0.759645762,0.495493937,0.748621337,0.485607502,0.72267711,0.476649419,0.752715649,0.014392498,0.004506063
0.582853661,0.804043018,0.576095753,0.80586712,0.585347267,0.793703064,0.570328681,0.813940575,0.085347267,0.076095753
0.589079952,0.847039283,0.590871472,0.840312936,0.601012484,0.793335506,0.592890478,0.851378525,0.101012484,0.090871472
0.640742734,0.84272287,0.663531727,0.820734522,0.625346672,0.850279033,0.629049054,0.873393113,0.125346672,0.163531727
0.546463639,0.921925857,0.526751401,0.921490909,0.530866389,0.899601101,0.542346078,0.923468011,0.030866389,0.026751401
0.543936547,0.782275672,0.586743772,0.815087048,0.532340692,0.743123534,0.521387411,0.783253926,0.032340692,0.086743772
0.549697397,0.830984664,0.537801218,0.821418305,0.509393583,0.819734973,0.536695738,0.867663571,0.009393583,0.037801218
0.593433735,0.856174622,0.518211787,0.816266099,0.612757542,0.857067215,0.586705328,0.868289393,0.112757542,0.018211787
0.599589262,0.839985867,0.598378054,0.816578269,0.603113687,0.829138728,0.587484188,0.853420007,0.103113687,0.098378054
0.584896192,0.858331375,0.553684666,0.822964832,0.5607186,0.849118231,0.590061158,0.871158462,0.0607186,0.053684666
0.513397639,1.034906201,0.525876883,1.033321311,0.559846354,1.015151319,0.488765724,1.037111878,0.059846354,0.025876883
0.501771832,0.690971734,0.491040928,0.682979742,0.541817535,0.724195715,0.522592351,0.699769845,0.041817535,0.008959072
0.535268371,0.846348986,0.439741057,0.678985051,0.545506721,0.821591826,0.527754486,0.849072035,0.045506721,0.060258943
0.436923972,0.982953654,0.542685833,1.021272531,0.455771971,0.921413148,0.412587839,0.958534197,0.044228029,0.042685833
0.608402665,0.838565093,0.602204898,0.780978423,0.57620865,0.781167511,0.627078989,0.885293784,0.07620865,0.102204898
0.676319508,0.842174281,0.623024767,0.770180754,0.683008455,0.816193504,0.649338162,0.822873435,0.183008455,0.123024767
0.538693757,0.633829625,0.567126043,0.646393232,0.604560649,0.656312886,0.546719521,0.65926945,0.104560649,0.067126043
0.563504363,0.760718915,0.530716468,0.758593295,0.567909978,0.752290542,0.561326821,0.786945026,0.067909978,0.030716468
0.477583343,0.965272691,0.504251879,1.00854795,0.487380814,1.004561262,0.452243944,0.976699876,0.012619186,0.004251879
0.450368838,0.623502584,0.440091101,0.610974602,0.414760489,0.57177343,0.455747245,0.611240003,0.085239511,0.059908899
0.670312651,0.796135646,0.583705946,0.702373381,0.665751865,0.793669635,0.666511084,0.811365734,0.165751865,0.083705946
0.652180353,0.636467806,0.663906797,0.629061493,0.637769047,0.56935896,0.625923952,0.653878207,0.137769047,0.163906797
0.528390873,0.816439314,0.523929151,0.807157849,0.536239249,0.833508372,0.548327618,0.824994738,0.036239249,0.023929151
0.461021924,0.920874912,0.44416758,0.896855991,0.459173306,0.905768218,0.444056543,0.917697588,0.040826694,0.05583242
0.662010376,0.818776212,0.650841083,0.842727033,0.656013254,0.804520311,0.696418289,0.808224111,0.156013254,0.150841083
0.721638233,0.728818256,0.706923661,0.723815948,0.718494579,0.737513411,0.736439176,0.711209662,0.218494579,0.206923661
0.684940956,1.021279017,0.70371702,0.963202843,0.671611211,1.022161647,0.678045064,1.022334397,0.171611211,0.20371702
0.549645438,0.684864798,0.562918246,0.682568735,0.547655211,0.645056239,0.52861652,0.696234043,0.047655211,0.062918246
0.656944877,0.975859838,0.657862377,0.992765827,0.681669381,1.024158906,0.660718866,0.953068231,0.181669381,0.157862377
0.769852378,0.867474335,0.748130149,0.8532991,0.728888856,0.835539066,0.746487524,0.868518559,0.228888856,0.248130149
0.527550724,1.087854844,0.50443801,1.009884117,0.514291004,0.98972122,0.529471119,1.068806959,0.014291004,0.00443801
0.555058267,0.849249634,0.539278436,0.804780457,0.551794515,0.845267322,0.556326127,0.855308742,0.051794515,0.039278436
0.57973083,0.791520578,0.579086744,0.778824786,0.556800505,0.76276389,0.548190631,0.820405762,0.056800505,0.079086744
0.678661915,0.794751672,0.669101882,0.753543124,0.705842754,0.793777637,0.667481034,0.815761032,0.205842754,0.169101882
0.42605959,0.724040118,0.429905509,0.727981358,0.405567325,0.714534459,0.42880413,0.698152079,0.094432675,0.070094491
0.57672905,0.788266506,0.549177145,0.749049675,0.569646855,0.75542365,0.570222636,0.790161052,0.069646855,0.049177145
0.538411737,0.797734399,0.539346755,0.79193595,0.530904208,0.787291717,0.528451104,0.788767408,0.030904208,0.039346755
0.545562133,0.831978818,0.546505957,0.847484746,0.526733108,0.81679122,0.553136187,0.813552051,0.026733108,0.046505957
0.584604156,0.78584813,0.52762931,0.765982863,0.508446191,0.718987185,0.587918172,0.783967718,0.008446191,0.02762931
0.630568051,0.733141976,0.618911595,0.7176413,0.640942396,0.737027147,0.668915982,0.732106026,0.140942396,0.118911595
0.515081225,0.921531492,0.501595073,0.898788535,0.49681115,0.929810376,0.524594683,0.945282517,0.00318885,0.001595073
0.539120579,0.867227547,0.556234765,0.887347456,0.513030421,0.835834369,0.536403783,0.893279883,0.013030421,0.056234765
0.571750072,1.019373506,0.526594501,0.958133725,0.577446476,0.977763578,0.567698394,1.010185534,0.077446476,0.026594501
0.476085535,0.901011954,0.428396973,0.814338762,0.468423746,0.88393965,0.509894432,0.870517305,0.031576254,0.071603027
0.533446806,0.961728972,0.491112611,0.894842797,0.471537938,0.889120155,0.529035824,0.964688699,0.028462062,0.008887389
0.605912329,0.831851892,0.576786673,0.83232476,0.591339449,0.833872648,0.601799656,0.84974281,0.091339449,0.076786673
0.486070898,0.747916917,0.469598566,0.73527068,0.492794894,0.763763703,0.476421604,0.764353635,0.007205106,0.030401434
0.574025744,0.951257739,0.575776746,0.953317915,0.521968453,0.900199354,0.599417884,0.996264618,0.021968453,0.075776746
0.503895279,0.849830146,0.457635242,0.875047247,0.482857529,0.823866251,0.491438054,0.840713937,0.017142471,0.042364758
0.539786481,0.873843887,0.551883083,0.866528707,0.492555643,0.832300055,0.535411644,0.912988068,0.007444357,0.051883083
0.474673042,0.774689732,0.476163389,0.766978442,0.488604837,0.776532164,0.482081257,0.768795833,0.011395163,0.023836611
0.581038948,0.778805668,0.542289286,0.73983491,0.596172845,0.773116189,0.586802905,0.785420691,0.096172845,0.042289286
0.559937519,0.73899438,0.523196503,0.719615236,0.550064308,0.725198945,0.566417394,0.756203622,0.050064308,0.023196503
0.590219091,0.940785361,0.609936454,0.942554846,0.600844373,0.941682457,0.594086442,0.949661483,0.100844373,0.109936454
0.636412305,0.871230139,0.578696498,0.776714584,0.608393411,0.877588029,0.657309545,0.818357833,0.108393411,0.078696498
