inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.504062258,0.90089069,0.397256517,0.831727213,0.508498858,0.902858509,0.501685794,0.902529217,0.008498858
0.584847761,0.579784464,0.69171175,0.622904399,0.4427027,0.518372535,0.607720207,0.563990091,0.0572973
0.604951527,0.608978327,0.591087185,0.608396907,0.552378406,0.57028276,0.619995803,0.592521448,0.052378406
0.510651919,0.759656193,0.453492049,0.743402171,0.525573734,0.73234484,0.438747026,0.751930213,0.025573734
0.511184213,0.797759156,0.49154434,0.758921021,0.476449429,0.748089865,0.487796633,0.806285343,0.023550571
0.960686308,0.749861322,0.949496931,0.752402658,0.805534247,0.681338572,0.965356456,0.756981374,0.305534247
0.547651101,0.851287529,0.330936336,0.807452735,0.438743609,0.811564296,0.547899281,0.882261616,0.061256391
0.555989357,0.924649646,0.438650612,0.887323378,0.459705398,0.865765862,0.536452719,0.930515931,0.040294602
0.806675663,0.779407652,0.733003661,0.765907331,0.774987892,0.745405296,0.78060599,0.785585003,0.274987892
0.621168025,0.817134492,0.579589021,0.807650578,0.361518744,0.766760119,0.570599224,0.860913551,0.138481256
0.579863076,0.853497876,0.479598698,0.773991237,0.370321313,0.737689055,0.580170395,0.867775649,0.129678687
0.805572132,0.827318925,0.596902138,0.744428481,0.67316147,0.771639069,0.7897956,0.839878331,0.17316147
0.685237679,0.844207608,0.598924434,0.782767283,0.673995386,0.841042841,0.724622872,0.857827407,0.173995386
0.56115316,1.032211635,0.567805117,0.990061258,0.49458785,0.990008583,0.587468592,1.033231541,0.00541215
0.602734158,0.689934247,0.519458222,0.644280243,0.591342833,0.663235947,0.578892661,0.69761889,0.091342833
0.683789488,0.837460437,0.548801019,0.765971408,0.623773057,0.8223365,0.723562725,0.839834294,0.123773057
0.680416589,0.947034982,0.679183045,0.931738557,0.538629193,0.871936746,0.684660988,0.925790895,0.038629193
0.652139831,0.821170983,0.626525461,0.793726727,0.64502887,0.806051904,0.665027858,0.864167227,0.14502887
0.892075236,0.80304032,0.767014757,0.773140462,0.831760957,0.77095187,0.913580213,0.774167721,0.331760957
0.688436293,0.61660481,0.634116556,0.612421253,0.667779935,0.592550129,0.676803419,0.642401886,0.167779935
0.757128285,0.740161068,0.766677837,0.735621111,0.63894831,0.754024554,0.77241276,0.765280956,0.13894831
0.602170361,0.955756571,0.610083253,0.92963105,0.517218225,0.894138025,0.60582761,0.964362874,0.017218225
0.702370428,0.622118428,0.662178769,0.584303428,0.613071578,0.567989739,0.697251049,0.60873739,0.113071578
0.663055308,0.807089736,0.470037578,0.721064715,0.592850033,0.768126743,0.667778046,0.817282915,0.092850033
0.756636066,0.646693992,0.750234188,0.626060343,0.710380945,0.583421988,0.723663065,0.660159024,0.210380945
0.519330052,0.812725628,0.518255536,0.812237614,0.520988261,0.803453076,0.542624991,0.818220463,0.020988261
0.61377677,0.894676281,0.503100873,0.875040365,0.551397239,0.86079652,0.574974948,0.895857534,0.051397239
0.915738057,0.807124732,0.738115305,0.714542375,0.71690044,0.731966371,0.974058537,0.795648797,0.21690044
0.728732019,0.74721409,0.639417957,0.692568668,0.780682455,0.755112068,0.725352827,0.736752041,0.280682455
0.885883094,0.986064375,0.724297596,0.933235293,0.777203697,0.955118311,0.877120188,0.989911032,0.277203697
0.626750191,0.6933311,0.620364677,0.667835815,0.615667664,0.674945958,0.624304615,0.70352431,0.115667664
0.984216961,0.864337006,0.733346521,0.793269642,0.786530596,0.808449625,0.959018009,0.855980906,0.286530596
0.884984998,0.826009118,0.815088202,0.827963912,0.852433288,0.833523837,0.880750632,0.799822912,0.352433288
0.786987312,1.070856872,0.60059537,0.966245979,0.654592101,1.011544674,0.771125861,1.052806169,0.154592101
0.576334161,0.847064725,0.455327065,0.802164208,0.426786822,0.791875962,0.548761129,0.855958027,0.073213178
0.637847782,0.79063831,0.501179954,0.761646485,0.525552455,0.752149544,0.61726953,0.813710406,0.025552455
0.906393242,0.770398442,0.820199597,0.736584268,0.851675022,0.738757087,0.92394361,0.787666782,0.351675022
0.50864058,0.716790878,0.469971618,0.720906602,0.45286539,0.701733725,0.515600322,0.689365483,0.04713461
0.598496322,0.792662013,0.470154009,0.743494808,0.559765849,0.759344395,0.612968945,0.792302592,0.059765849
0.715744213,0.768586488,0.648367085,0.778483041,0.644844319,0.783494189,0.639211194,0.771891788,0.144844319
0.778395544,0.841514346,0.691099327,0.791418514,0.765071166,0.819919956,0.767029854,0.823018476,0.265071166
0.752900728,0.745595621,0.625872991,0.698022716,0.623041903,0.702783763,0.776358991,0.744504116,0.123041903
0.869404187,0.686902327,0.810340286,0.653151614,0.765130116,0.633061562,0.856171496,0.686800656,0.265130116
0.486737216,0.924470826,0.497973021,0.933540886,0.319074754,0.860451565,0.514973212,0.946052332,0.180925246
