inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs2
0.55423323,0.897762578,0.336948195,0.800457435,0.354945985,0.806160058,0.558220126,0.899521511,0.145054015
0.680121821,0.558636314,0.709119174,0.575427616,0.51717108,0.517204398,0.691633227,0.543635963,0.01717108
0.560446305,0.607220645,0.56226908,0.597939962,0.521167138,0.602180435,0.583146431,0.591598668,0.021167138
0.552098822,0.757226568,0.510089522,0.720769677,0.534914747,0.740985634,0.475706947,0.750335615,0.034914747
0.790654625,0.783566353,0.638658301,0.726386954,0.731435669,0.771519572,0.745219736,0.796531452,0.231435669
0.967946832,0.732789897,0.865166554,0.725170471,0.78586408,0.713044712,0.967140373,0.74676454,0.28586408
0.748223953,0.84769756,0.511044039,0.779223522,0.362281371,0.715997386,0.7555965,0.877703799,0.137718629
0.518742563,0.933718568,0.472110215,0.932032733,0.405203374,0.920671371,0.486841112,0.943592025,0.094796626
0.834691736,0.79695633,0.642587691,0.678714764,0.816637885,0.774208648,0.80679996,0.802507339,0.316637885
0.69579106,0.80527514,0.652428805,0.791965894,0.478516683,0.748531311,0.635144396,0.849929905,0.021483317
0.540839785,0.853641003,0.38111597,0.742021181,0.311122835,0.719353562,0.543678295,0.867841182,0.188877165
0.822412533,0.834743928,0.643221432,0.783309237,0.624135895,0.771025433,0.821163731,0.845994639,0.124135895
0.780190722,0.84341551,0.57748436,0.752680808,0.791452681,0.837898465,0.837894463,0.857114041,0.291452681
0.702672556,1.018659518,0.509415538,0.879764817,0.536785018,0.930034966,0.697254554,1.019584754,0.036785018
0.525828747,0.691203618,0.427096649,0.667552488,0.521535843,0.656024908,0.489425054,0.699073408,0.021535843
0.72894747,0.838875677,0.458744364,0.714553084,0.722262709,0.832419493,0.752601512,0.843273219,0.222262709
0.750153219,0.948297424,0.612427591,0.874506024,0.689106687,0.918010928,0.76325035,0.928351069,0.189106687
0.692788239,0.809966505,0.593453924,0.761131879,0.576232255,0.691752812,0.69956103,0.855276948,0.076232255
0.869573529,0.804035274,0.637295541,0.732432988,0.789868657,0.759702863,0.896013185,0.774017696,0.289868657
0.732042175,0.618007208,0.678644771,0.58989469,0.637371172,0.589999592,0.713284068,0.644708634,0.137371172
0.938864639,0.751920281,1.006213362,0.768353322,0.853636888,0.766194138,0.937453363,0.777756894,0.353636888
0.791025164,0.925628429,0.79638099,0.895553909,0.712862873,0.903770485,0.792558907,0.933347764,0.212862873
0.595304028,0.625857191,0.547876281,0.616561533,0.398300087,0.536840051,0.606082452,0.614512456,0.101699913
0.74819084,0.767581305,0.266292034,0.582677797,0.756419126,0.769155272,0.740545286,0.778076235,0.256419126
0.82169184,0.647657426,0.539758251,0.560373393,0.693407841,0.572303189,0.786545233,0.661107971,0.193407841
0.612270686,0.819022483,0.601330299,0.806394625,0.498437635,0.77036092,0.634322741,0.825495685,0.001562365
0.582123756,0.906252589,0.532566569,0.907809006,0.574558076,0.912212979,0.536474223,0.905213225,0.074558076
0.913845445,0.830065027,0.640911745,0.746428998,0.78575667,0.779407224,0.977237322,0.814187611,0.28575667
0.707379291,0.758149259,0.618529841,0.748354764,0.62720444,0.709411615,0.695518673,0.748946198,0.12720444
0.948467078,0.987509834,0.880136207,0.969184204,0.711071569,0.948508675,0.955280632,0.989797446,0.211071569
0.482843264,0.69955291,0.464475862,0.69993656,0.522588602,0.696632153,0.462267312,0.703891132,0.022588602
1.023311611,0.846406965,0.678747415,0.776403406,0.703396792,0.791540508,0.989174006,0.840384567,0.203396792
0.93231627,0.850626513,0.849374953,0.815240505,0.937681502,0.861770011,0.92555813,0.82523226,0.437681502
0.915156542,1.070731354,0.776618766,1.009574365,0.820199725,1.029769957,0.900997794,1.051138251,0.320199725
0.721612358,0.822315756,0.530600715,0.804112238,0.470612321,0.780309874,0.713986891,0.829465211,0.029387679
0.697860845,0.780414913,0.509370677,0.74172357,0.578495596,0.759858777,0.676402237,0.803481512,0.078495596
1.053318725,0.765304101,0.85886914,0.657344611,1.107549057,0.769376373,1.118986627,0.776443186,0.607549057
0.501643302,0.719016003,0.32759447,0.658524612,0.509321454,0.72150523,0.504588836,0.692706244,0.009321454
0.758144029,0.782807316,0.670023565,0.753865511,0.507750284,0.694482939,0.770908219,0.783687954,0.007750284
0.763279753,0.762144209,0.706562499,0.779954864,0.733402295,0.755750686,0.680608772,0.765920549,0.233402295
0.783986372,0.825091695,0.682058033,0.772350096,0.708867995,0.792377067,0.771980169,0.808751392,0.208867995
0.682083923,0.765760636,0.465583596,0.729494651,0.349325818,0.645685465,0.726308123,0.761493425,0.150674182
0.717575578,0.708729627,0.701524219,0.708245578,0.642830249,0.648067862,0.704237695,0.712363428,0.142830249
0.506577061,0.922323108,0.358368313,0.877782671,0.303562264,0.842525201,0.544597489,0.942658586,0.196437736
0.882602178,0.852481225,0.889660138,0.859643973,0.787429239,0.760448757,0.829875715,0.87856607,0.287429239
0.696073185,1.019192269,0.692820533,1.009059055,0.691522141,1.027664917,0.706282678,1.003912235,0.191522141
0.789615941,0.924052639,0.734256675,0.881799446,0.365915845,0.674698764,0.842579758,0.891684176,0.134084155
0.594723775,0.951363243,0.323861212,0.909936345,0.329683249,0.850623015,0.554216477,0.96009147,0.170316751
0.604334064,0.84035571,0.529062,0.775881976,0.518638423,0.776225366,0.603669068,0.857972424,0.018638423
0.510412229,0.748012521,0.53258571,0.749646164,0.516146629,0.765103109,0.521300358,0.764618168,0.016146629
0.75156377,0.933957631,0.570967595,0.879440119,0.592156012,0.882204945,0.786602446,0.975623185,0.092156012
0.637577667,0.841973039,0.475064652,0.803996617,0.526026472,0.792413955,0.633117871,0.834361862,0.026026472
1.016143563,0.801741508,0.911922763,0.745963884,1.001416208,0.803482221,0.983141167,0.832582235,0.501416208
0.708628316,0.764362735,0.5960131,0.705671354,0.690385007,0.738764974,0.738178317,0.757912646,0.190385007
0.570728561,0.77177317,0.436590112,0.729329962,0.45881956,0.745419376,0.561171059,0.777159554,0.04118044
0.697173755,0.726546771,0.622838818,0.686419243,0.733738786,0.732054233,0.732309469,0.742626194,0.233738786
0.803090966,0.923539669,0.826701757,0.940165866,0.786959325,0.89120908,0.796073625,0.932102763,0.286959325
0.887053709,0.884392102,0.803163356,0.855317359,0.638858385,0.814205492,0.868737997,0.846460428,0.138858385
0.79928231,0.882341444,0.737991923,0.865119363,0.779317875,0.849582701,0.812235844,0.888219824,0.279317875
0.830947099,0.727408682,0.586825357,0.595273182,0.595585735,0.593291426,0.802155384,0.674241703,0.095585735
0.86847988,1.000027261,0.881862444,1.007041797,0.855836732,1.015501864,0.908495004,1.019702794,0.355836732
0.709642594,0.894762883,0.534182928,0.892219481,0.602943883,0.859713887,0.69978659,0.895556239,0.102943883
0.928954493,0.876168646,0.967606936,0.87017339,0.882931358,0.859125646,0.94314927,0.88321719,0.382931358
0.62006623,0.879762611,0.386378998,0.751256935,0.436770432,0.812648572,0.633063481,0.940184475,0.063229568
0.721393656,0.774826216,0.665818316,0.764905922,0.685657005,0.78834188,0.712849943,0.803786422,0.185657005
0.698700705,0.918860512,0.366664075,0.832372895,0.384230693,0.770943768,0.666057705,0.909033493,0.115769307
0.7849985,0.888212738,0.581181543,0.806999881,0.671395119,0.853114112,0.776488162,0.889619281,0.171395119
0.920366261,0.777704715,0.795587789,0.709125541,0.959902931,0.768144849,0.930932633,0.785003271,0.459902931
0.998405715,0.674928951,0.924217499,0.674990019,0.923499918,0.671805909,0.972816553,0.742038169,0.423499918
1.103764893,0.710055865,0.681965122,0.569663017,0.771870215,0.610487266,1.133593379,0.719509554,0.271870215
0.609299352,0.914241894,0.415941842,0.824891684,0.452156206,0.851645141,0.643787212,0.894501817,0.047843794
0.782364221,0.869071516,0.567595433,0.794925631,0.572293981,0.771248691,0.771410948,0.891615707,0.072293981
