inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.50581751,0.900937109,0.268898421,0.793672151,0.390751614,0.821928427,0.516145677,0.902287446,0.109248386
0.692018439,0.5610879,0.689520775,0.561034231,0.439853814,0.490344897,0.704182852,0.547142226,0.060146186
0.694479724,0.606600994,0.669512751,0.589889758,0.653669055,0.612952292,0.732368481,0.593117401,0.153669055
0.580487853,0.757601203,0.498835758,0.710228228,0.449796537,0.706848672,0.458496046,0.750045557,0.050203463
0.948134603,0.791106421,0.788602094,0.729731971,0.938991511,0.760563433,0.891555681,0.800851279,0.438991511
1.000706255,0.722666073,0.999658988,0.706484296,0.744325973,0.656038342,0.992103985,0.736224422,0.244325973
0.781787521,0.840507991,0.619298546,0.829168104,0.515379403,0.796969628,0.760297938,0.869044803,0.015379403
0.451608942,0.950487279,0.343178715,0.925948069,0.264346511,0.908788243,0.42518953,0.95841272,0.235653489
0.822389206,0.801603251,0.64695475,0.698534764,0.695780092,0.723800627,0.795449954,0.80668428,0.195780092
0.816843174,0.779126044,0.820633364,0.789231247,0.612886011,0.754783001,0.740769326,0.8266463,0.112886011
0.605282802,0.849644121,0.408964136,0.739267741,0.422762992,0.759414168,0.625573128,0.862955329,0.077237008
0.786881338,0.836164832,0.616208216,0.792026194,0.576987379,0.793709279,0.796732108,0.846580883,0.076987379
0.856861291,0.856553567,0.579385346,0.778827858,0.640393242,0.761542406,0.926550949,0.872686541,0.140393242
0.698646042,1.012102191,0.436235305,0.889493791,0.477306928,0.911792475,0.68840383,1.013081659,0.022693072
0.532543441,0.689807066,0.444403797,0.681937112,0.422982393,0.678182381,0.486792224,0.699679314,0.077017607
0.712223765,0.827695015,0.581619033,0.76870189,0.668065446,0.833813334,0.730958332,0.829915958,0.168065446
0.780162834,0.945161965,0.682951341,0.884068487,0.695481546,0.883812472,0.810910047,0.922557569,0.195481546
0.782065266,0.775837396,0.720019756,0.748490642,0.750823708,0.760434581,0.786305603,0.823131805,0.250823708
0.871301564,0.819108422,0.592728676,0.738068169,0.737738846,0.754797105,0.893688802,0.792992471,0.237738846
0.786258415,0.619330628,0.700527091,0.580889162,0.571134176,0.593895035,0.747234705,0.646355214,0.071134176
0.931791603,0.75065293,0.852457586,0.744724359,0.826608946,0.73535506,0.94067537,0.776635342,0.326608946
0.84131021,0.915088156,0.813086148,0.848112827,0.630304518,0.842022779,0.840471851,0.923160707,0.130304518
0.485225411,0.621828191,0.336579957,0.536724866,0.253040817,0.545500223,0.505018078,0.609492705,0.246959183
0.777828461,0.751575938,0.417397753,0.684134101,0.59865421,0.655843544,0.768208242,0.762913609,0.09865421
0.909160673,0.624327209,0.648023665,0.567831724,0.748193047,0.565878599,0.861323512,0.640031077,0.248193047
