inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9,,inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9
1.929470648,1.227574224,0.367124216,0.473845727,0.959671268,0.929377906,0.938539602,0.996125442,1.124422985,0.984755371,,1.13214697,0.434043318,0.075489205,0.073706162,0.277263725,0.094590246,0.101722457,0.021666249,0.01041444,0.022827583
1.961777916,1.136636685,-0.092680816,0.307244389,0.843779778,0.690967459,0.624087099,0.310861667,0.391617804,0.424286823,,,,,,,,,,,
2.124156362,1.351626426,0.579421115,0.837492204,1.124153514,0.765111434,0.859141264,0.798036593,0.74917009,0.865312191,,,,,,,,,,,
2.232052357,1.946507066,1.059697042,1.021561362,2.112098678,1.995568585,1.838767275,1.568967813,1.47958899,1.607935515,,,,,,,,,,,
2.276393374,1.707411881,2.25294586,2.044629074,1.592647778,1.512639438,1.509226998,1.532578393,1.389532103,1.43192377,,,,,,,,,,,
2.173700837,1.842209783,0.668841007,0.572262336,1.544735352,1.433430328,1.607636428,1.496293944,1.161327777,1.49834404,,,,,,,,,,,
2.19905716,1.524376163,0.673732881,0.924875878,1.287848128,1.245389049,1.187945654,0.698364275,0.78955116,0.720941572,,,,,,,,,,,
1.846377007,1.493205351,0.409604102,0.782942468,1.308527396,1.111270354,1.121569874,0.496781588,1.030710494,0.501820333,,,,,,,,,,,
2.436298116,1.73374191,1.602055323,1.514717042,1.965063062,1.661836959,1.701133664,1.5844691,1.649316079,1.602885451,,,,,,,,,,,
2.067129498,1.131233446,0.541060389,0.458854946,0.843706374,0.674103709,0.699393359,0.799485115,1.015345897,0.783009152,,,,,,,,,,,
2.129589991,1.308775241,0.802794321,0.793297402,1.18536951,0.802082636,0.823567243,0.677498156,0.688572881,0.819966927,,,,,,,,,,,
1.905890566,1.126625531,0.627470855,0.391118511,1.094230328,1.041964221,0.988798695,0.926048741,0.932251364,1.019919859,,,,,,,,,,,
2.006244289,1.6312635,1.638129314,2.208924704,1.773495714,1.496837952,1.408891311,1.29438125,1.085909328,1.355004467,,,,,,,,,,,
2.238977135,1.723823479,0.708998603,0.688895782,1.265909822,0.96520415,1.003047242,0.997126013,0.809725658,1.037091697,,,,,,,,,,,
2.110439736,1.502160181,1.152738966,1.338868322,1.446039396,1.201950204,1.303452099,1.121823759,1.135101141,1.149466076,,,,,,,,,,,
2.414249576,0.730768801,0.436068807,0.726558221,1.215259724,1.173357699,1.23015223,1.158121766,1.225872246,1.201088747,,,,,,,,,,,
1.890633477,1.315141436,0.639674207,0.471145434,1.114633443,0.725016429,0.796377232,0.729851431,0.858801565,0.755422221,,,,,,,,,,,
2.018143435,1.968976915,2.49471908,1.956647768,1.791857471,1.125060166,1.41615679,1.574936375,1.368355191,1.488602073,,,,,,,,,,,
2.382123308,1.873607057,1.91795509,1.991040614,1.796667587,1.771782309,1.66179302,1.56914489,1.511214062,1.643085803,,,,,,,,,,,
1.981737456,0.838635685,0.66812569,0.194716503,1.052821483,0.842165163,0.858494912,0.614223551,0.688773869,0.718991235,,,,,,,,,,,
2.217506786,1.64376881,1.705889395,1.146016749,1.594766404,1.398216156,1.237221979,1.641940526,1.732886159,1.61642438,,,,,,,,,,,
2.288660806,1.429910728,1.15529067,1.141232489,1.166973308,1.399190667,1.432076071,0.977743694,1.16498501,0.963600029,,,,,,,,,,,
2.478409193,1.689200566,1.076390217,1.08650904,1.079679069,0.865693738,0.814420369,0.743020929,0.807218256,0.855126342,,,,,,,,,,,
2.036174594,1.029112717,0.02479122,0.15856319,0.722413318,0.600870266,0.536562253,0.371921859,0.212668847,0.200357521,,,,,,,,,,,
2.334747694,1.309935597,0.809122166,0.672982667,1.337471186,1.286126579,1.166437417,0.981908712,0.863550569,0.937637949,,,,,,,,,,,
1.954753128,1.526230436,1.391501477,1.403504274,1.61830266,1.593844845,1.623384531,1.65917659,1.405888867,1.711507468,,,,,,,,,,,
2.115906932,1.390767222,0.75295401,0.800444079,0.900929278,0.680716564,0.461274011,0.413699769,0.347936151,0.311189227,,,,,,,,,,,
2.172596909,1.569687569,1.20180673,1.384494679,1.378933757,1.188316458,1.563136648,1.377306303,1.587031598,1.348348842,,,,,,,,,,,
2.389042248,2.437716702,1.135928144,0.950989641,1.70387854,1.230795827,1.183318957,1.076614124,0.847464037,1.197223775,,,,,,,,,,,
2.028742666,1.033914416,-0.335065114,-0.187730315,0.962805451,0.541474255,0.489647464,0.645090086,0.837627959,0.593649243,,,,,,,,,,,
2.030673102,1.588004526,1.560780155,1.807371165,1.49457874,1.677765683,1.467760116,1.406427173,1.183597261,1.572286002,,,,,,,,,,,
2.270040852,1.644824671,0.740236882,1.129227679,1.576207489,1.521512709,1.533970795,1.400457334,1.445557444,1.355350874,,,,,,,,,,,
2.25203863,1.70120572,1.473921309,1.41452656,1.856478585,2.002777402,1.995675725,2.058772982,1.490677604,2.140997886,,,,,,,,,,,
1.807264771,1.388333758,1.61286904,1.551430965,1.469877411,1.268002815,1.082780832,0.779810406,0.917113664,0.771400287,,,,,,,,,,,
2.024727224,1.230284778,0.93859596,0.922721036,1.254539369,0.93242314,0.813500892,0.794864826,0.979435407,0.695654405,,,,,,,,,,,
1.875021102,1.096354418,1.095011752,1.207936086,1.061246652,0.945225417,0.962861373,0.697092585,0.786658222,0.730147605,,,,,,,,,,,
2.399431318,1.230352296,0.76409495,0.799678991,1.391474464,1.091396454,1.231579785,1.437410726,0.987921885,1.159251888,,,,,,,,,,,
2.087259493,1.943871614,1.374756291,1.316248973,1.470221296,1.058590675,1.070736795,1.350514191,0.886338642,1.198444619,,,,,,,,,,,
2.235379163,1.533845349,0.107471598,0.160034244,1.049583111,0.974138458,0.86051919,0.508522271,0.641791482,0.5624287,,,,,,,,,,,
2.113954783,1.153757603,0.869875046,0.751018763,0.939239636,0.847753528,0.927343778,1.035874281,0.900294353,0.995267673,,,,,,,,,,,
2.080503985,1.586216164,1.036314727,1.004177682,1.500626904,1.020313675,0.968530198,1.284884242,0.932773471,1.346072578,,,,,,,,,,,
2.35763041,1.968321941,0.811770519,0.751961868,1.333519277,1.017965645,0.906035408,1.122360219,1.330832096,1.100418407,,,,,,,,,,,
2.386726342,1.347469716,0.602163848,0.613813792,1.225309653,0.950059116,1.016744953,0.897897486,0.912370038,1.042638745,,,,,,,,,,,
1.678426591,0.798722124,-0.053595498,-0.07803259,0.663750934,0.321084725,0.228547396,0.124944048,0.252705415,0.101550851,,,,,,,,,,,
1.941093947,1.732799259,0.719996079,0.897259444,1.321230141,1.191877469,1.321754123,1.4948727,1.206014269,1.322466927,,,,,,,,,,,
1.927894723,1.748393711,0.381712567,0.525704926,1.314707364,0.95871718,1.021098945,0.972454645,1.236260174,0.9796627,,,,,,,,,,,
2.477749551,2.257123215,0.833135621,0.894800716,1.437607106,1.345321394,1.494309543,1.109674787,1.257224702,1.13667896,,,,,,,,,,,
1.923072838,1.127198177,0.120544045,0.193771598,0.9488538,0.870164103,0.894337579,0.775517532,0.801422434,0.755894238,,,,,,,,,,,
1.921804302,1.004601226,0.322465488,0.387963585,1.02913269,0.887716352,0.866110742,0.898065977,0.787357872,0.786030588,,,,,,,,,,,
2.120597973,0.561740963,-0.22951998,0.030300599,0.63542542,0.644258802,0.697985503,0.610261315,0.594808395,0.495951173,,,,,,,,,,,
1.932048366,1.230453238,0.45253727,0.255638773,1.518835881,1.1691849,1.177241636,0.711802671,0.82636138,0.782336173,,,,,,,,,,,
1.98473636,0.845906375,-0.44637379,-0.438083443,0.588788969,0.214305399,0.19421933,0.166367929,0.372767777,0.13774278,,,,,,,,,,,
2.297415906,2.297304805,3.129063906,2.862880923,1.950536497,1.262048499,1.419973875,1.429144182,1.463498089,1.433756385,,,,,,,,,,,
2.67487632,2.274777629,1.587529819,1.545520352,1.960439392,1.785444528,1.777091917,1.635749252,1.673553358,1.655657453,,,,,,,,,,,
1.889100693,1.153116686,0.661905546,0.83917972,1.115432822,0.973540978,0.986389163,0.881526947,0.696306222,0.847290078,,,,,,,,,,,
2.241443192,1.398562547,0.816851124,0.811189407,1.536951419,1.250515208,1.221907272,1.297779136,1.446103864,1.296942023,,,,,,,,,,,
1.861059567,1.554668118,1.07658415,1.254795012,1.386348636,1.074760677,1.055439173,1.003604739,1.060852021,1.039373549,,,,,,,,,,,
2.29107342,1.732448889,1.589313941,1.565934781,1.666246086,1.767404175,1.79388123,1.251214283,1.147409358,1.413706811,,,,,,,,,,,
1.832716371,1.394920449,1.683618807,1.890515248,1.355689688,1.44125174,1.341985852,1.326004615,1.533637918,1.323139382,,,,,,,,,,,
2.259036847,2.023826458,0.990112449,0.872135518,1.467719697,1.433873877,1.373620499,1.764174968,1.570695543,1.829993135,,,,,,,,,,,
1.913658206,1.285092506,1.108635107,0.88881431,1.281195833,1.125723846,1.094712241,0.840612184,0.834427713,0.724878062,,,,,,,,,,,
1.957340083,1.753767435,1.19296,1.224529114,1.597060084,1.830591808,1.454408447,1.461799773,1.404974181,1.54219829,,,,,,,,,,,
2.233804365,1.756509512,2.228255941,2.035057384,1.847725042,2.097688932,1.972461873,1.830070857,1.651561141,1.841929903,,,,,,,,,,,
1.985160227,1.196043368,0.245227133,0.098099022,1.108022723,0.902102932,1.031119786,0.787918318,0.827191019,0.798638373,,,,,,,,,,,
2.111475975,1.593799988,1.429718528,1.114560049,1.122467891,0.868733752,0.963782263,0.878209046,0.820694511,0.776084572,,,,,,,,,,,
2.139783349,0.85607538,0.472950978,0.51507697,0.792176661,0.983309122,0.942239205,0.823720955,0.692132269,0.756825663,,,,,,,,,,,
2.267218768,1.465976937,0.978176558,0.963149337,1.452557907,1.537663536,1.525534295,1.361833518,1.228449113,1.370109802,,,,,,,,,,,
2.350683022,1.50671727,0.82676601,0.863476422,1.510938771,1.477512042,1.555659672,1.23785523,1.41193607,1.223185641,,,,,,,,,,,
2.301528752,1.441872732,1.118907684,0.823448674,1.435722926,1.32230781,1.240191318,1.193477804,1.028884905,1.351109145,,,,,,,,,,,
2.27482934,1.138788189,-0.080831753,-0.01589556,1.050344346,0.846972501,0.815336496,0.992421466,0.980255669,0.828089211,,,,,,,,,,,
1.876735608,0.446002193,-0.145334524,0.014156137,0.456642744,0.391446551,0.57732109,0.394121747,0.491392753,0.374761876,,,,,,,,,,,
1.927111101,0.971566472,1.074567879,1.031707878,0.923782956,0.890199366,0.731805269,0.751582964,0.854260913,0.667713179,,,,,,,,,,,
1.56818494,0.505433496,0.416309461,0.320054333,0.506429981,0.020983887,0.083236969,0.19853931,0.428501589,0.179196154,,,,,,,,,,,
1.67780299,0.551743232,-0.042123681,-0.067791413,0.656531106,0.406991713,0.38859563,0.409417321,0.4700276,0.366317532,,,,,,,,,,,
2.356899612,1.591003893,1.166669449,1.253841497,1.977833405,1.51339787,1.526163215,1.494923398,1.349662848,1.451277154,,,,,,,,,,,
1.977858649,1.735393951,1.260675086,1.078129243,1.345321107,1.177101919,1.143825541,1.185781468,0.901017487,1.079770194,,,,,,,,,,,
2.240580126,1.248211818,0.096484972,0.18766487,0.760681149,0.433559344,0.459192895,0.309561156,0.514513689,0.324909012,,,,,,,,,,,
2.173599397,2.458070175,0.797972745,0.689189232,1.571566758,1.174024942,1.121387025,0.888382653,1.000142081,0.887546138,,,,,,,,,,,
2.392887951,0.884930533,0.982870023,0.964656436,1.06036346,0.976511066,0.922091596,0.853826992,0.963440482,0.838592289,,,,,,,,,,,
2.187814959,1.057437641,0.930876742,0.965780131,1.069589383,1.08553885,1.051756037,0.929299221,1.215286765,0.945383628,,,,,,,,,,,
1.915011425,0.871678703,0.588419109,0.640048351,0.77715531,0.900149627,1.065302285,0.955266824,0.781331454,0.886347209,,,,,,,,,,,
2.051949099,1.521623938,1.092601229,1.249818048,1.406769358,1.244333878,1.279605878,1.051156906,0.848593787,1.1048831,,,,,,,,,,,
2.479734604,1.643432139,1.621550526,1.770379781,1.291215713,1.263889206,1.448851059,1.32636889,1.026370977,1.415489837,,,,,,,,,,,
2.464456506,2.394265278,2.773843374,2.97531026,1.934069234,2.031639005,2.013712195,1.919448151,1.815015403,1.997743498,,,,,,,,,,,
2.305071327,1.310883425,1.158191445,1.033284152,1.081479833,0.725647858,0.698479231,0.979605452,0.805895593,0.953706077,,,,,,,,,,,
2.341122559,1.757013496,1.470437149,1.485644864,1.673632248,1.117411695,1.406576205,1.343458582,1.325103539,1.286021772,,,,,,,,,,,
2.06763073,1.218903839,0.732852419,0.867674876,0.79862413,0.56648583,0.671420598,0.632173062,0.93981039,0.646671074,,,,,,,,,,,
1.999117809,0.275746795,-0.217028891,0.098631169,0.446417949,0.254509921,0.24937306,0.270138457,0.567977147,0.272230611,,,,,,,,,,,
2.212813174,1.396444124,0.558283553,0.631102134,1.152970015,0.840036089,0.897543617,0.710747086,0.735860456,0.80394054,,,,,,,,,,,
1.742136034,1.010588142,0.756579207,0.774091481,0.811388372,0.849559759,0.922151307,0.774598681,0.703619985,0.790149021,,,,,,,,,,,
2.696253342,1.932727946,0.88241976,1.071943729,1.494113316,1.300961957,1.401025463,1.346237616,1.31219679,1.32393507,,,,,,,,,,,
2.162956311,1.428308338,1.635600665,1.309717208,1.278707868,1.131503848,1.172005929,1.07757289,1.087441054,1.126990006,,,,,,,,,,,
1.773325143,0.988301108,0.225923454,-0.000871631,0.306717282,0.044673458,0.119918873,0.013560907,-0.040345942,0.093306349,,,,,,,,,,,
2.076072037,1.439275714,0.940959252,0.932805942,1.151954178,1.006595135,1.089794966,0.970156122,1.095161966,0.902056973,,,,,,,,,,,
2.179006844,1.892057652,0.984610452,0.701934036,1.710275134,0.903676315,0.972699397,1.299776854,1.396459672,1.356450261,,,,,,,,,,,
2.285913811,1.247110484,1.477096885,1.273342536,1.287578502,1.025969308,1.016381751,0.889371073,0.9157835,0.929096516,,,,,,,,,,,
2.086446664,1.594074104,1.798978553,1.727070606,1.693047373,1.74706799,1.648868619,1.384721124,1.223167246,1.35563631,,,,,,,,,,,
2.196148274,1.510632925,0.501010625,0.471469743,1.397905201,1.003047007,1.001462837,0.827146563,0.758800903,0.91196931,,,,,,,,,,,
2.115574345,1.903990889,1.975114997,1.864390816,1.573112918,1.472660469,1.551931958,1.475895029,1.229926062,1.383532917,,,,,,,,,,,
