inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9,,inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9
1.467582471,1.086744976,0.516454022,0.525770211,1.47884549,1.28662987,1.255111296,0.513435542,0.712611945,0.540956247,,0.789833091,0.266026665,0.06750029,0.089678667,0.433581218,0.320149024,0.325256107,0.003030294,0.005824514,0.011528535
1.693677404,0.806744149,0.387876941,0.35863608,0.878914901,0.952804418,0.937626379,0.665974248,0.845196702,0.679668563,,,,,,,,,,,
1.497590617,1.102246221,0.681659518,0.63208565,0.929412252,0.756860029,0.850960307,0.889525072,0.927806742,0.916343883,,,,,,,,,,,
1.43753773,0.964585807,0.80839991,0.783843532,1.453278274,1.586915792,1.688907465,0.945815203,0.899509427,0.770542423,,,,,,,,,,,
1.833790324,1.236497427,1.127045004,0.986041145,1.756033669,1.791876726,1.607639375,1.356472841,1.321238763,1.3436351,,,,,,,,,,,
2.473509278,2.11467423,2.504008984,2.240068439,2.442605371,2.885816465,2.70546826,1.921221074,1.725235005,2.02634596,,,,,,,,,,,
1.486616941,0.847799297,0.343222634,0.479455822,0.767095791,0.762371678,0.832091952,0.725800384,0.396191753,0.463759753,,,,,,,,,,,
1.290144935,0.825358533,0.333513893,0.244915411,0.736107506,0.693373783,0.685814412,0.521546381,0.709850447,0.494854973,,,,,,,,,,,
2.294630251,1.772696655,1.330490857,1.334769594,1.990906706,1.787851593,1.862957897,1.61472266,1.537792095,1.699778019,,,,,,,,,,,
1.789155059,1.507665844,0.815904414,1.048929521,1.689127884,1.225466021,1.478385504,1.013129595,1.119536219,1.017816038,,,,,,,,,,,
1.595106995,1.10724981,1.100310862,0.994908758,1.238826027,1.026205489,0.966187016,0.573237496,0.668540463,0.650742171,,,,,,,,,,,
1.927126665,1.286300052,1.214527275,0.677230684,1.475044121,1.217760753,1.160175947,1.167854763,1.283651345,1.130290054,,,,,,,,,,,
1.874612102,1.403499971,1.385180653,1.384155008,1.111256382,1.209586983,1.145042936,1.140253673,1.216252836,1.115921286,,,,,,,,,,,
1.886219886,1.016779047,-0.040545318,0.04902389,1.872445309,1.722113118,1.695992368,0.884604987,0.861358749,0.901014097,,,,,,,,,,,
1.396542581,1.646683872,0.976562397,0.943368436,0.914857747,0.983389409,1.055658051,0.913453331,0.777725699,0.864283546,,,,,,,,,,,
2.008347322,1.135963677,-0.384739605,-0.346752692,0.83366635,0.892761676,0.862178473,0.646866693,0.817415212,0.695560512,,,,,,,,,,,
1.763453897,1.399339288,1.08087905,0.990255245,1.540618856,1.317310979,1.306493269,1.061578354,0.925971695,1.023070364,,,,,,,,,,,
1.637843149,1.865190246,0.759006842,0.972353105,1.524742125,1.235452135,1.321238313,1.001011225,0.916168882,0.919961617,,,,,,,,,,,
2.275894643,1.863278398,1.987494964,1.64353437,1.962622895,1.980333713,1.995141374,1.660931654,1.609911573,1.776525003,,,,,,,,,,,
1.559636422,0.984796578,0.312486485,0.135057615,1.623829558,1.659282517,1.473848432,0.700757288,0.912944759,0.692986671,,,,,,,,,,,
