inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9,,inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9
1.631211445,0.756811021,0.347777208,0.116654732,1.061602222,0.535730865,0.370317681,0.597435494,0.780726927,0.613828023,,1.03343952,0.216424289,0.172003676,0.170235853,0.490801642,0.310665136,0.327512586,0.027631087,0.005625625,0.022981401
1.864746629,1.026199615,0.776026537,0.734765639,1.279758619,0.901629586,0.836632978,0.482308328,0.810515858,0.500051515,,,,,,,,,,,
1.789987697,1.581987555,1.285023334,1.452674158,1.304271207,0.845956277,1.091527658,0.993840078,1.065855357,0.985265128,,,,,,,,,,,
1.543992123,0.449258393,0.486490783,0.39719911,1.411321577,1.500593515,1.439217564,0.61336604,0.657501674,0.693691446,,,,,,,,,,,
2.355384114,1.70090914,1.331351742,1.523586976,2.014780962,1.864772395,2.054715326,1.681770864,1.693995064,1.719186888,,,,,,,,,,,
2.594646971,2.401553763,2.16103394,2.013342374,2.671101134,2.868384818,2.693779188,2.050701901,1.726306587,2.270725866,,,,,,,,,,,
2.016104739,0.875642392,0.517234023,0.663368112,1.064726506,0.850075868,0.866566586,0.807514461,0.405526804,0.607524001,,,,,,,,,,,
1.226545992,0.196373152,0.693982841,0.04844049,0.439659141,0.501317897,0.523164159,0.257973495,0.38098429,0.181328912,,,,,,,,,,,
2.258063605,1.436394359,1.339616499,1.223740755,1.769514775,1.616211332,1.597311292,1.352800069,1.272359249,1.395593349,,,,,,,,,,,
2.056143641,1.12165343,0.853452315,1.040289566,1.908748713,1.478244826,1.593029355,1.196429863,1.190630397,1.238314157,,,,,,,,,,,
1.694577476,0.978766412,0.052268625,0.094200751,1.402024399,1.02930643,1.129722922,0.447496131,0.520902942,0.564001313,,,,,,,,,,,
2.012158692,1.419758484,0.479848171,0.497955624,2.284472937,1.934973733,1.9918446,1.09207867,1.023520353,1.136262818,,,,,,,,,,,
2.22070597,1.359926863,0.920045719,0.900023385,1.438585644,1.229241683,1.422680793,1.237602189,1.348197407,1.190867374,,,,,,,,,,,
2.000834215,0.420875595,-1.53034542,-0.91235166,2.014602676,2.332588375,2.189988526,0.408375876,0.406341226,0.341720277,,,,,,,,,,,
1.235545213,0.50154398,-0.180183018,0.060773487,0.590333465,0.184586181,0.513372847,0.528516962,0.359914147,0.379050588,,,,,,,,,,,
2.049017049,0.055737643,-0.228792176,-0.426621441,1.695785073,1.551097338,1.343910594,0.057739753,0.344494166,0.080643545,,,,,,,,,,,
1.933071161,1.290916982,0.972389047,1.014887336,1.723612487,1.737345932,1.695095866,0.880734083,0.790031135,0.931749335,,,,,,,,,,,
1.994404847,1.842788707,1.823926476,1.948701314,1.854032034,1.480392091,1.51691965,1.541787512,1.288029408,1.410884718,,,,,,,,,,,
2.457369227,1.731476637,1.804289132,1.808824859,2.052228603,1.890991697,1.869820951,1.734557204,1.636963518,1.809984001,,,,,,,,,,,
2.002630184,1.422996283,1.18207191,1.253423175,1.824467481,1.651989362,1.553504579,1.002127837,1.147988087,1.077214439,,,,,,,,,,,
2.473892253,1.753621155,1.575944779,1.670319623,1.950814191,1.571251608,1.575737097,1.652300204,1.721343639,1.71485474,,,,,,,,,,,
2.038996647,0.92438717,0.872367895,0.881630617,1.459074093,1.360360041,1.297797897,0.874438756,0.845091858,0.956927247,,,,,,,,,,,
1.891844033,0.400230855,0.4100836,0.534326349,0.708033253,0.828070569,0.909174333,0.744280575,0.822120426,0.786152934,,,,,,,,,,,
1.95783862,0.412046089,-0.312545448,-0.274605948,0.63368799,0.718126794,0.502069881,0.518620021,0.511399633,0.292672936,,,,,,,,,,,
2.31904761,2.16965042,2.315519049,2.474053039,1.467249943,1.298619317,1.21418491,0.856937375,0.654388706,1.226388462,,,,,,,,,,,
1.507407367,1.195257017,1.209077104,1.357371501,0.877758231,0.996209801,1.117420211,1.152757122,0.982222229,1.225575837,,,,,,,,,,,
